"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035265","organ growth","6/67","227/28832",0.026431718061674,11.3743178381222,7.57332452346821,1.49015602819329e-05,0.0101089128610857,0.00620600746123267,"Ecm1/Ift80/Tgfbr1/Bcl2/Bcl2l11/Smo",6
"GO:0002520","immune system development","6/67","242/28832",0.0247933884297521,10.6692981374121,7.29005192606609,2.13783794414225e-05,0.0101089128610857,0.00620600746123267,"Foxp3/Il2ra/Lta/Tgfbr1/Bcl2/Bcl2l11",6
"GO:0001776","leukocyte homeostasis","5/67","145/28832",0.0344827586206897,14.8389089037571,8.06266007539567,2.25591485954324e-05,0.0101089128610857,0.00620600746123267,"Ccr2/Foxp3/Il2ra/Bcl2/Bcl2l11",5
"GO:0036293","response to decreased oxygen levels","7/67","378/28832",0.0185185185185185,7.96904367053621,6.58237298372277,2.78591319883926e-05,0.0101089128610857,0.00620600746123267,"Pdk1/Arnt2/Ccr2/Lta/Slc1a1/Bcl2/Slc29a1",7
"GO:0050670","regulation of lymphocyte proliferation","6/67","260/28832",0.0230769230769231,9.93065442020666,6.9812743100377,3.19635785748709e-05,0.0101089128610857,0.00620600746123267,"Ccr2/Ctla4/Foxp3/Il2ra/Bcl2/Ceacam1",6
"GO:0032944","regulation of mononuclear cell proliferation","6/67","265/28832",0.0226415094339623,9.74328358208955,6.90081284903555,3.55498359211406e-05,0.0101089128610857,0.00620600746123267,"Ccr2/Ctla4/Foxp3/Il2ra/Bcl2/Ceacam1",6
"GO:0002437","inflammatory response to antigenic stimulus","4/67","81/28832",0.0493827160493827,21.2507831214299,8.80831667422789,3.87233986442424e-05,0.0101089128610857,0.00620600746123267,"Ccr2/Il2ra/Lta/Notch2",4
"GO:0042130","negative regulation of T cell proliferation","4/67","82/28832",0.0487804878048781,20.9916272297051,8.74925777460979,4.06382912672362e-05,0.0101089128610857,0.00620600746123267,"Ctla4/Foxp3/Il2ra/Ceacam1",4
"GO:0070663","regulation of leukocyte proliferation","6/67","287/28832",0.0209059233449477,8.99641166987363,6.57061671595612,5.53686434131187e-05,0.0101089128610857,0.00620600746123267,"Ccr2/Ctla4/Foxp3/Il2ra/Bcl2/Ceacam1",6
"GO:0072574","hepatocyte proliferation","3/67","33/28832",0.0909090909090909,39.1207598371777,10.5746226760964,6.22504984523653e-05,0.0101089128610857,0.00620600746123267,"Ceacam1/Notch2/Smo",3
"GO:0072575","epithelial cell proliferation involved in liver morphogenesis","3/67","33/28832",0.0909090909090909,39.1207598371777,10.5746226760964,6.22504984523653e-05,0.0101089128610857,0.00620600746123267,"Ceacam1/Notch2/Smo",3
"GO:0001894","tissue homeostasis","6/67","303/28832",0.0198019801980198,8.5213536279001,6.35197987058131,7.46901626227863e-05,0.0101089128610857,0.00620600746123267,"Ccr2/Ift80/Slc1a1/Bcl2/Ceacam1/Smo",6
"GO:0060249","anatomical structure homeostasis","6/67","303/28832",0.0198019801980198,8.5213536279001,6.35197987058131,7.46901626227863e-05,0.0101089128610857,0.00620600746123267,"Ccr2/Ift80/Slc1a1/Bcl2/Ceacam1/Smo",6
"GO:0070482","response to oxygen levels","7/67","444/28832",0.0157657657657658,6.78445609788893,5.92818408713774,7.68409561275478e-05,0.0101089128610857,0.00620600746123267,"Pdk1/Arnt2/Ccr2/Lta/Slc1a1/Bcl2/Slc29a1",7
"GO:0002260","lymphocyte homeostasis","4/67","97/28832",0.0412371134020619,17.7454993075858,7.97284705922531,7.84258155633943e-05,0.0101089128610857,0.00620600746123267,"Foxp3/Il2ra/Bcl2/Bcl2l11",4
"GO:0050672","negative regulation of lymphocyte proliferation","4/67","97/28832",0.0412371134020619,17.7454993075858,7.97284705922531,7.84258155633943e-05,0.0101089128610857,0.00620600746123267,"Ctla4/Foxp3/Il2ra/Ceacam1",4
"GO:0072576","liver morphogenesis","3/67","36/28832",0.0833333333333333,35.8606965174129,10.1008121232033,8.10590042165272e-05,0.0101089128610857,0.00620600746123267,"Ceacam1/Notch2/Smo",3
"GO:0032945","negative regulation of mononuclear cell proliferation","4/67","99/28832",0.0404040404040404,17.387004372079,7.88245945732833,8.49093437393421e-05,0.0101089128610857,0.00620600746123267,"Ctla4/Foxp3/Il2ra/Ceacam1",4
"GO:0002724","regulation of T cell cytokine production","3/67","37/28832",0.0810810810810811,34.8914885034288,9.95561352773188,8.80648071346303e-05,0.0101089128610857,0.00620600746123267,"Trpm4/Ccr2/Foxp3",3
"GO:0007204","positive regulation of cytosolic calcium ion concentration","5/67","200/28832",0.025,10.7582089552239,6.68335197968182,0.000104073296205741,0.0103404974074156,0.00634818055562762,"Cacna1g/Trpm4/Ccr2/Ccr9/Bcl2",5
"GO:0042129","regulation of T cell proliferation","5/67","200/28832",0.025,10.7582089552239,6.68335197968182,0.000104073296205741,0.0103404974074156,0.00634818055562762,"Ccr2/Ctla4/Foxp3/Il2ra/Ceacam1",5
"GO:0070664","negative regulation of leukocyte proliferation","4/67","105/28832",0.0380952380952381,16.3934612651031,7.62642249060015,0.00010670187186769,0.0103404974074156,0.00634818055562762,"Ctla4/Foxp3/Il2ra/Ceacam1",4
"GO:0006575","modified amino acid metabolic process","5/67","202/28832",0.0247524752475248,10.6516920348751,6.64360084972726,0.00010904696945005,0.0103404974074156,0.00634818055562762,"Gnmt/Plod2/Gsto1/Slc1a1/Gsta4",5
"GO:0030098","lymphocyte differentiation","7/67","473/28832",0.0147991543340381,6.36849578744754,5.68162800929088,0.000113831497738784,0.010344437357012,0.00635059934753214,"Ccr2/Ccr9/Ctla4/Foxp3/Il2ra/Bcl2/Notch2",7
"GO:0046651","lymphocyte proliferation","6/67","337/28832",0.0178041543026706,7.66163249036716,5.93671710898759,0.000133616680042194,0.011189895804584,0.00686963848714057,"Ccr2/Ctla4/Foxp3/Il2ra/Bcl2/Ceacam1",6
"GO:0001666","response to hypoxia","6/67","342/28832",0.0175438596491228,7.54962031945535,5.88055096684202,0.000144742184522697,0.011189895804584,0.00686963848714057,"Pdk1/Arnt2/Ccr2/Lta/Bcl2/Slc29a1",6
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","6/67","342/28832",0.0175438596491228,7.54962031945535,5.88055096684202,0.000144742184522697,0.011189895804584,0.00686963848714057,"Cep55/Akr1c18/Ift80/Tgfbr1/Ceacam1/F2",6
"GO:0032943","mononuclear cell proliferation","6/67","344/28832",0.0174418604651163,7.50572717806317,5.85840177993041,0.00014939283389873,0.011189895804584,0.00686963848714057,"Ccr2/Ctla4/Foxp3/Il2ra/Bcl2/Ceacam1",6
"GO:0030217","T cell differentiation","6/67","348/28832",0.0172413793103448,7.41945445187854,5.81463315614009,0.000159049413086706,0.011189895804584,0.00686963848714057,"Ccr2/Ccr9/Ctla4/Foxp3/Il2ra/Bcl2",6
"GO:0048562","embryonic organ morphogenesis","6/67","348/28832",0.0172413793103448,7.41945445187854,5.81463315614009,0.000159049413086706,0.011189895804584,0.00686963848714057,"Fzd6/Tead1/Stra6/Tgfbr1/Notch2/Smo",6
"GO:0051347","positive regulation of transferase activity","6/67","348/28832",0.0172413793103448,7.41945445187854,5.81463315614009,0.000159049413086706,0.011189895804584,0.00686963848714057,"Trib3/Tead1/Slc1a1/Ceacam1/F2/Notch2",6
"GO:0001782","B cell homeostasis","3/67","46/28832",0.0652173913043478,28.064892926671,8.8660389280706,0.000169496517010098,0.0115522469874695,0.00709209110647515,"Foxp3/Bcl2/Bcl2l11",3
"GO:0030279","negative regulation of ossification","3/67","48/28832",0.0625,26.8955223880597,8.66572269363922,0.000192483106155048,0.0127213834704291,0.0078098408621761,"Trpm4/Ecm1/Bcl2",3
"GO:0002369","T cell cytokine production","3/67","49/28832",0.0612244897959184,26.3466341760585,8.57008981084291,0.000204696269325911,0.0127555018114232,0.00783078660398672,"Trpm4/Ccr2/Foxp3",3
"GO:0046640","regulation of alpha-beta T cell proliferation","3/67","49/28832",0.0612244897959184,26.3466341760585,8.57008981084291,0.000204696269325911,0.0127555018114232,0.00783078660398672,"Ccr2/Foxp3/Il2ra",3
"GO:0002709","regulation of T cell mediated immunity","4/67","127/28832",0.031496062992126,13.5536490774474,6.84270999654352,0.000222016535707121,0.0128006448967259,0.00785850059539824,"Trpm4/Ccr2/Foxp3/Ceacam1",4
