"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903706","regulation of hemopoiesis","21/258","459/28832",0.0457516339869281,5.11283376399655,8.44012844165241,1.28857959279234e-09,4.53322300744347e-06,3.46288810568301e-06,"Atg7/Ccr2/Cd74/Cd83/Csf1/Ctla4/Fgl2/Foxp3/Gata3/Il2ra/Isg15/Nfkbia/Nfkbiz/Prdm1/Rarg/Rbm15/Rhoh/Tgfb1/Tmem64/Tob2/Zbtb1",21
"GO:0050863","regulation of T cell activation","19/258","391/28832",0.0485933503836317,5.4304010785305,8.38133457231502,3.04259797715819e-09,5.35192984182126e-06,4.08829086088677e-06,"Tigit/Bid/Ccr2/Cd74/Cd83/Ctla4/Fbxo38/Fgl2/Foxp3/Gata3/Il2ra/Lrrc32/Nfkbiz/Prdm1/Rhoh/Tgfb1/Tnfrsf1b/Tnfrsf9/Zbtb1",19
"GO:0045580","regulation of T cell differentiation","13/258","198/28832",0.0656565656565657,7.33724845352752,8.50249734021049,3.10346459185239e-08,3.63932947804557e-05,2.78005091333304e-05,"Ccr2/Cd74/Cd83/Ctla4/Fgl2/Foxp3/Gata3/Il2ra/Nfkbiz/Prdm1/Rhoh/Tgfb1/Zbtb1",13
"GO:0032944","regulation of mononuclear cell proliferation","14/258","265/28832",0.0528301886792453,5.90387596899225,7.62051430550413,1.3772041707291e-07,0.000121125106815624,9.25263749439839e-05,"Bid/Ccr2/Cd74/Csf1/Ctla4/Foxp3/Ighd/Ighm/Il2ra/Lrrc32/Tgfb1/Tnfrsf1b/Tnfrsf4/Tnfrsf9",14
"GO:0045619","regulation of lymphocyte differentiation","13/258","233/28832",0.055793991416309,6.23508666866287,7.62395981372145,2.07694578310912e-07,0.000127810095935393,9.76329777454469e-05,"Ccr2/Cd74/Cd83/Ctla4/Fgl2/Foxp3/Gata3/Il2ra/Nfkbiz/Prdm1/Rhoh/Tgfb1/Zbtb1",13
"GO:0045582","positive regulation of T cell differentiation","10/258","129/28832",0.0775193798449612,8.66294092903071,8.28859411661096,2.67451905029904e-07,0.000127810095935393,9.76329777454469e-05,"Ccr2/Cd74/Cd83/Foxp3/Gata3/Il2ra/Nfkbiz/Rhoh/Tgfb1/Zbtb1",10
"GO:1902105","regulation of leukocyte differentiation","16/258","373/28832",0.0428954423592493,4.79364881434836,7.00738386480459,3.0049719361604e-07,0.000127810095935393,9.76329777454469e-05,"Ccr2/Cd74/Cd83/Csf1/Ctla4/Fgl2/Foxp3/Gata3/Il2ra/Nfkbiz/Prdm1/Rhoh/Tgfb1/Tmem64/Tob2/Zbtb1",16
"GO:0043010","camera-type eye development","17/258","425/28832",0.04,4.47007751937984,6.84817960618158,3.40279777037951e-07,0.000127810095935393,9.76329777454469e-05,"Nrp1/Bmpr2/Dram2/Dscam/Gata3/Hipk2/Prdm1/Rarg/Rcn1/Rom1/Skil/Slc1a1/Stra6/Tgfb1/Tgfbr1/Trpm1/Vim",17
"GO:0070663","regulation of leukocyte proliferation","14/258","287/28832",0.0487804878048781,5.4513140480242,7.20142340965901,3.63146745826852e-07,0.000127810095935393,9.76329777454469e-05,"Bid/Ccr2/Cd74/Csf1/Ctla4/Foxp3/Ighd/Ighm/Il2ra/Lrrc32/Tgfb1/Tnfrsf1b/Tnfrsf4/Tnfrsf9",14
"GO:0007159","leukocyte cell-cell adhesion","17/258","427/28832",0.0398126463700234,4.44914038814153,6.82309782706092,3.63303285774283e-07,0.000127810095935393,9.76329777454469e-05,"Itgb1/Tigit/Ccr2/Cd74/Cd83/Ctla4/Fbxo38/Fgl2/Foxp3/Gata3/Il2ra/Lrrc32/Nfkbiz/Nt5e/Rhoh/Tgfb1/Zbtb1",17
"GO:0002440","production of molecular mediator of immune response","14/258","297/28832",0.0471380471380471,5.2677681204813,7.02496697685038,5.47944495340106e-07,0.000169234646843082,0.000129276817985814,"Ccr2/Cd74/Epg5/Fgl2/Foxp3/Gata3/Ighd/Ighm/Nfkbiz/Samhd1/Swap70/Tgfb1/Tnfrsf1b/Tnfrsf4",14
"GO:0032943","mononuclear cell proliferation","15/258","344/28832",0.0436046511627907,4.87290427257977,6.86655952696725,5.77264287128194e-07,0.000169234646843082,0.000129276817985814,"Bid/Ccr2/Cd74/Csf1/Ctla4/Foxp3/Ighd/Ighm/Il2ra/Lrrc32/Nfkbiz/Tgfb1/Tnfrsf1b/Tnfrsf4/Tnfrsf9",15
"GO:0030217","T cell differentiation","15/258","348/28832",0.0431034482758621,4.81689387864207,6.80696323046677,6.6755318771726e-07,0.000174396032430239,0.000133219553811795,"Ccr2/Ccr9/Cd74/Cd83/Ctla4/Fgl2/Foxp3/Gata3/Il2ra/Nfkbiz/Prdm1/Rhoh/Tgfb1/Tnfrsf9/Zbtb1",15
"GO:0050670","regulation of lymphocyte proliferation","13/258","260/28832",0.05,5.58759689922481,7.06083055744875,7.23523113279333e-07,0.000174396032430239,0.000133219553811795,"Bid/Ccr2/Cd74/Ctla4/Foxp3/Ighd/Ighm/Il2ra/Lrrc32/Tgfb1/Tnfrsf1b/Tnfrsf4/Tnfrsf9",13
"GO:1902107","positive regulation of leukocyte differentiation","12/258","221/28832",0.0542986425339367,6.06797853309481,7.18651887616315,8.18326085765932e-07,0.000174396032430239,0.000133219553811795,"Ccr2/Cd74/Cd83/Csf1/Foxp3/Gata3/Il2ra/Nfkbiz/Rhoh/Tgfb1/Tmem64/Zbtb1",12
