"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002223","stimulatory C-type lectin receptor signaling pathway","2/9","13/28832",0.153846153846154,492.854700854701,31.3437219485208,6.74402628993895e-06,0.000937419654301514,0.000369146702186132,"Klrd1/Klrk1",2
"GO:1990840","response to lectin","2/9","13/28832",0.153846153846154,492.854700854701,31.3437219485208,6.74402628993895e-06,0.000937419654301514,0.000369146702186132,"Klrd1/Klrk1",2
"GO:1990858","cellular response to lectin","2/9","13/28832",0.153846153846154,492.854700854701,31.3437219485208,6.74402628993895e-06,0.000937419654301514,0.000369146702186132,"Klrd1/Klrk1",2
"GO:0045954","positive regulation of natural killer cell mediated cytotoxicity","2/9","39/28832",0.0512820512820513,164.2849002849,18.0308577508374,6.37991220083012e-05,0.00617951993202215,0.00243343458133398,"Klrd1/Klrk1",2
"GO:0002717","positive regulation of natural killer cell mediated immunity","2/9","42/28832",0.0476190476190476,152.550264550265,17.3676887919639,7.40949632136948e-05,0.00617951993202215,0.00243343458133398,"Klrd1/Klrk1",2
"GO:0042269","regulation of natural killer cell mediated cytotoxicity","2/9","66/28832",0.0303030303030303,97.0774410774411,13.808139761553,0.000183875993227014,0.0126797441107673,0.00499315936205908,"Klrd1/Klrk1",2
"GO:0002715","regulation of natural killer cell mediated immunity","2/9","71/28832",0.028169014084507,90.2410015649452,13.3037212309585,0.000212849421523672,0.0126797441107673,0.00499315936205908,"Klrd1/Klrk1",2
"GO:0002220","innate immune response activating cell surface receptor signaling pathway","2/9","90/28832",0.0222222222222222,71.1901234567901,11.7847475982494,0.000341989069742869,0.0156801885243818,0.00617470506071833,"Klrd1/Klrk1",2
"GO:0042267","natural killer cell mediated cytotoxicity","2/9","93/28832",0.021505376344086,68.8936678614098,11.5882121245832,0.000365123231052576,0.0156801885243818,0.00617470506071833,"Klrd1/Klrk1",2
"GO:0002228","natural killer cell mediated immunity","2/9","98/28832",0.0204081632653061,65.3786848072562,11.2807665361286,0.000405335640738588,0.0156801885243818,0.00617470506071833,"Klrd1/Klrk1",2
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity","2/9","99/28832",0.0202020202020202,64.7182940516274,11.2220646818418,0.000413626076182735,0.0156801885243818,0.00617470506071833,"Klrd1/Klrk1",2
"GO:0031343","positive regulation of cell killing","2/9","108/28832",0.0185185185185185,59.3251028806584,10.730660361712,0.000491950120324463,0.0170952666812751,0.00673194901496633,"Klrd1/Klrk1",2
"GO:0030101","natural killer cell activation","2/9","115/28832",0.0173913043478261,55.7140096618358,10.3886579155127,0.000557472944719633,0.0178820167652375,0.007041763512248,"Klrd1/Klrk1",2
"GO:0001910","regulation of leukocyte mediated cytotoxicity","2/9","135/28832",0.0148148148148148,47.4600823045268,9.56114989956684,0.000766747923389312,0.0228381345752388,0.00899343428937839,"Klrd1/Klrk1",2
"GO:0031341","regulation of cell killing","2/9","154/28832",0.012987012987013,41.6046176046176,8.92776750582065,0.000995610206420314,0.0276779637384847,0.0108993117334434,"Klrd1/Klrk1",2
"GO:0002708","positive regulation of lymphocyte mediated immunity","2/9","171/28832",0.0116959064327485,37.4684860298895,8.45184719657726,0.00122497145847195,0.0319258186364251,0.0125720754948437,"Klrd1/Klrk1",2
"GO:0001909","leukocyte mediated cytotoxicity","2/9","186/28832",0.010752688172043,34.4468339307049,8.08650778628459,0.00144647190664651,0.0354811050042115,0.0139721125347899,"Klrd1/Klrk1",2
"GO:0002705","positive regulation of leukocyte mediated immunity","2/9","197/28832",0.0101522842639594,32.5234066553864,7.84511258879161,0.00162021803120306,0.0375350510562043,0.0147809364250104,"Klrd1/Klrk1",2
"GO:0002706","regulation of lymphocyte mediated immunity","2/9","246/28832",0.00813008130081301,26.0451671183379,6.97101969455859,0.0025090148601314,0.0380715087117202,0.0149921882090833,"Klrd1/Klrk1",2
"GO:0060710","chorio-allantoic fusion","1/9","10/28832",0.1,320.355555555556,17.848179934503,0.00311763643519469,0.0380715087117202,0.0149921882090833,"Lef1",1
"GO:1902732","positive regulation of chondrocyte proliferation","1/9","10/28832",0.1,320.355555555556,17.848179934503,0.00311763643519469,0.0380715087117202,0.0149921882090833,"Lef1",1
"GO:0002858","regulation of natural killer cell mediated cytotoxicity directed against tumor cell target","1/9","11/28832",0.0909090909090909,291.232323232323,17.0125382646926,0.00342892438440268,0.0380715087117202,0.0149921882090833,"Klrk1",1
"GO:0071389","cellular response to mineralocorticoid stimulus","1/9","11/28832",0.0909090909090909,291.232323232323,17.0125382646926,0.00342892438440268,0.0380715087117202,0.0149921882090833,"Sgk1",1
"GO:0071864","positive regulation of cell proliferation in bone marrow","1/9","11/28832",0.0909090909090909,291.232323232323,17.0125382646926,0.00342892438440268,0.0380715087117202,0.0149921882090833,"Lef1",1
"GO:0098976","excitatory chemical synaptic transmission","1/9","11/28832",0.0909090909090909,291.232323232323,17.0125382646926,0.00342892438440268,0.0380715087117202,0.0149921882090833,"Pdlim4",1
"GO:1901329","regulation of odontoblast differentiation","1/9","11/28832",0.0909090909090909,291.232323232323,17.0125382646926,0.00342892438440268,0.0380715087117202,0.0149921882090833,"Lef1",1
"GO:0001906","cell killing","2/9","294/28832",0.00680272108843537,21.7928949357521,6.33225469147048,0.00355825760681086,0.0380715087117202,0.0149921882090833,"Klrd1/Klrk1",2
"GO:0002758","innate immune response-activating signaling pathway","2/9","301/28832",0.00664451827242525,21.2860834256183,6.25179134608373,0.00372578041312667,0.0380715087117202,0.0149921882090833,"Klrd1/Klrk1",2
"GO:0002420","natural killer cell mediated cytotoxicity directed against tumor cell target","1/9","12/28832",0.0833333333333333,266.962962962963,16.2834458495047,0.00374012592774042,0.0380715087117202,0.0149921882090833,"Klrk1",1
"GO:0002855","regulation of natural killer cell mediated immune response to tumor cell","1/9","12/28832",0.0833333333333333,266.962962962963,16.2834458495047,0.00374012592774042,0.0380715087117202,0.0149921882090833,"Klrk1",1
"GO:0045588","positive regulation of gamma-delta T cell differentiation","1/9","12/28832",0.0833333333333333,266.962962962963,16.2834458495047,0.00374012592774042,0.0380715087117202,0.0149921882090833,"Lef1",1
"GO:0046645","positive regulation of gamma-delta T cell activation","1/9","12/28832",0.0833333333333333,266.962962962963,16.2834458495047,0.00374012592774042,0.0380715087117202,0.0149921882090833,"Lef1",1
"GO:0002429","immune response-activating cell surface receptor signaling pathway","2/9","303/28832",0.0066006600660066,21.1455812247891,6.2293016021421,0.00377431580507813,0.0380715087117202,0.0149921882090833,"Klrd1/Klrk1",2
"GO:0002423","natural killer cell mediated immune response to tumor cell","1/9","13/28832",0.0769230769230769,246.42735042735,15.6399981884681,0.00405124108619448,0.0380715087117202,0.0149921882090833,"Klrk1",1
"GO:0019370","leukotriene biosynthetic process","1/9","13/28832",0.0769230769230769,246.42735042735,15.6399981884681,0.00405124108619448,0.0380715087117202,0.0149921882090833,"Ggt5",1
"GO:0030854","positive regulation of granulocyte differentiation","1/9","13/28832",0.0769230769230769,246.42735042735,15.6399981884681,0.00405124108619448,0.0380715087117202,0.0149921882090833,"Lef1",1
"GO:0048340","paraxial mesoderm morphogenesis","1/9","13/28832",0.0769230769230769,246.42735042735,15.6399981884681,0.00405124108619448,0.0380715087117202,0.0149921882090833,"Lef1",1
"GO:0071863","regulation of cell proliferation in bone marrow","1/9","13/28832",0.0769230769230769,246.42735042735,15.6399981884681,0.00405124108619448,0.0380715087117202,0.0149921882090833,"Lef1",1
"GO:0002703","regulation of leukocyte mediated immunity","2/9","317/28832",0.00630914826498423,20.2117069751139,6.07771616175631,0.00412239006746437,0.0380715087117202,0.0149921882090833,"Klrd1/Klrk1",2
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","2/9","320/28832",0.00625,20.0222222222222,6.04649803102628,0.00419886701826745,0.0380715087117202,0.0149921882090833,"Klrd1/Klrk1",2
"GO:0002699","positive regulation of immune effector process","2/9","322/28832",0.0062111801242236,19.8978605935128,6.02592171150142,0.00425022095766414,0.0380715087117202,0.0149921882090833,"Klrd1/Klrk1",2
"GO:0006750","glutathione biosynthetic process","1/9","14/28832",0.0714285714285714,228.825396825397,15.0666171101081,0.00436226988074762,0.0380715087117202,0.0149921882090833,"Ggt5",1
"GO:0030223","neutrophil differentiation","1/9","14/28832",0.0714285714285714,228.825396825397,15.0666171101081,0.00436226988074762,0.0380715087117202,0.0149921882090833,"Lef1",1
"GO:0002218","activation of innate immune response","2/9","331/28832",0.00604229607250755,19.3568311513931,5.93558020709822,0.00448496103184304,0.0380715087117202,0.0149921882090833,"Klrd1/Klrk1",2
"GO:0060326","cell chemotaxis","2/9","337/28832",0.00593471810089021,19.0121991427629,5.87731376598967,0.0046447605102407,0.0380715087117202,0.0149921882090833,"Lef1/Klrk1",2
"GO:0021932","hindbrain radial glia guided cell migration","1/9","15/28832",0.0666666666666667,213.57037037037,14.5514239000165,0.00467321233237794,0.0380715087117202,0.0149921882090833,"Lef1",1
"GO:0031115","negative regulation of microtubule polymerization","1/9","15/28832",0.0666666666666667,213.57037037037,14.5514239000165,0.00467321233237794,0.0380715087117202,0.0149921882090833,"Sgk1",1
"GO:0045586","regulation of gamma-delta T cell differentiation","1/9","15/28832",0.0666666666666667,213.57037037037,14.5514239000165,0.00467321233237794,0.0380715087117202,0.0149921882090833,"Lef1",1
