"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002440","production of molecular mediator of immune response","7/68","297/28832",0.0235690235690236,9.99326599326599,7.57471669549176,6.49595941313689e-06,0.00763649758254121,0.0057168905164598,"Foxp3/Tnfrsf4/Ighm/Tnfrsf1b/Nfkbiz/Cd74/Epg5",7
"GO:0046651","lymphocyte proliferation","7/68","337/28832",0.0207715133531157,8.80712166172107,7.00940632875809,1.47320236893714e-05,0.00763649758254121,0.0057168905164598,"Foxp3/Il2ra/Tnfrsf4/Ighm/Tnfrsf1b/Nfkbiz/Cd74",7
"GO:0032943","mononuclear cell proliferation","7/68","344/28832",0.0203488372093023,8.62790697674419,6.92011478857403,1.6814618610229e-05,0.00763649758254121,0.0057168905164598,"Foxp3/Il2ra/Tnfrsf4/Ighm/Tnfrsf1b/Nfkbiz/Cd74",7
"GO:0070661","leukocyte proliferation","7/68","379/28832",0.0184696569920844,7.8311345646438,6.50890724795038,3.12296830485112e-05,0.00763649758254121,0.0057168905164598,"Foxp3/Il2ra/Tnfrsf4/Ighm/Tnfrsf1b/Nfkbiz/Cd74",7
"GO:0050670","regulation of lymphocyte proliferation","6/68","260/28832",0.0230769230769231,9.78461538461539,6.9182901826576,3.47942485394083e-05,0.00763649758254121,0.0057168905164598,"Foxp3/Il2ra/Tnfrsf4/Ighm/Tnfrsf1b/Cd74",6
"GO:0050671","positive regulation of lymphocyte proliferation","5/68","157/28832",0.0318471337579618,13.5031847133758,7.6379784634516,3.55031951595105e-05,0.00763649758254121,0.0057168905164598,"Foxp3/Il2ra/Tnfrsf4/Ighm/Cd74",5
"GO:0032944","regulation of mononuclear cell proliferation","6/68","265/28832",0.0226415094339623,9.6,6.83830929891602,3.8692416297698e-05,0.00763649758254121,0.0057168905164598,"Foxp3/Il2ra/Tnfrsf4/Ighm/Tnfrsf1b/Cd74",6
"GO:0032946","positive regulation of mononuclear cell proliferation","5/68","160/28832",0.03125,13.25,7.55486582086614,3.8862583117258e-05,0.00763649758254121,0.0057168905164598,"Foxp3/Il2ra/Tnfrsf4/Ighm/Cd74",5
"GO:0045089","positive regulation of innate immune response","7/68","410/28832",0.0170731707317073,7.2390243902439,6.18644225597071,5.13426736535728e-05,0.00816589904585402,0.00611321490107459,"Nfkbiz/Ddx60/Cd74/Slc15a2/Epg5/Cactin/Tlr12",7
"GO:0070663","regulation of leukocyte proliferation","6/68","287/28832",0.0209059233449477,8.86411149825784,6.51006397444771,6.02242753813265e-05,0.00816589904585402,0.00611321490107459,"Foxp3/Il2ra/Tnfrsf4/Ighm/Tnfrsf1b/Cd74",6
