"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042752","regulation of circadian rhythm","3/22","128/28832",0.0234375,30.7159090909091,9.31091494762256,0.000123735611791788,0.0307590239110163,0.0176710478362028,"Casp1/Maged1/Bhlhe40",3
"GO:0016540","protein autoprocessing","2/22","26/28832",0.0769230769230769,100.811188811189,14.0699964694937,0.000178636846261843,0.0307590239110163,0.0176710478362028,"Casp4/Casp1",2
"GO:0060562","epithelial tube morphogenesis","4/22","403/28832",0.00992555831265509,13.007895330476,6.70823378055543,0.000225336255641693,0.0307590239110163,0.0176710478362028,"Sostdc1/Maged1/Vdr/Cxcl10",4
"GO:0060907","positive regulation of macrophage cytokine production","2/22","31/28832",0.0645161290322581,84.5513196480938,12.8617463765487,0.000254998116374557,0.0307590239110163,0.0176710478362028,"Casp4/Casp1",2
"GO:0010623","programmed cell death involved in cell development","2/22","32/28832",0.0625,81.9090909090909,12.6545186758405,0.000271872313515249,0.0307590239110163,0.0176710478362028,"Casp4/Dnase1l3",2
"GO:0045662","negative regulation of myoblast differentiation","2/22","33/28832",0.0606060606060606,79.4269972451791,12.4567118302983,0.000289278743397296,0.0307590239110163,0.0176710478362028,"Sostdc1/Cxcl10",2
"GO:0002833","positive regulation of response to biotic stimulus","4/22","441/28832",0.0090702947845805,11.8870336013193,6.36660751453645,0.000317434943802672,0.0307590239110163,0.0176710478362028,"Casp4/Slamf6/Casp1/Ptpn11",4
"GO:0150117","positive regulation of cell-substrate junction organization","2/22","35/28832",0.0571428571428571,74.8883116883117,12.0866433312403,0.000325685310997836,0.0307590239110163,0.0176710478362028,"Mapre2/Ptpn11",2
"GO:0032496","response to lipopolysaccharide","4/22","477/28832",0.00838574423480084,10.989898989899,6.0796002618412,0.000427154312791198,0.0307590239110163,0.0176710478362028,"Casp4/Casp1/Ptpn11/Cxcl10",4
"GO:0002697","regulation of immune effector process","4/22","485/28832",0.00824742268041237,10.8086223055295,6.01997785290498,0.000454806762568125,0.0307590239110163,0.0176710478362028,"Casp4/Dnase1l3/Slamf6/Casp1",4
"GO:0060603","mammary gland duct morphogenesis","2/22","42/28832",0.0476190476190476,62.4069264069264,11.0050174955655,0.000469763946422836,0.0307590239110163,0.0176710478362028,"Sostdc1/Vdr",2
"GO:0002237","response to molecule of bacterial origin","4/22","495/28832",0.00808080808080808,10.5902662993572,5.94738283923265,0.000491147974660107,0.0307590239110163,0.0176710478362028,"Casp4/Casp1/Ptpn11/Cxcl10",4
"GO:0061081","positive regulation of myeloid leukocyte cytokine production involved in immune response","2/22","43/28832",0.0465116279069767,60.9556025369979,10.8722711286659,0.000492451698042268,0.0307590239110163,0.0176710478362028,"Casp4/Casp1",2
"GO:0010935","regulation of macrophage cytokine production","2/22","46/28832",0.0434782608695652,56.9802371541502,10.5000786857975,0.00056365628238288,0.0307590239110163,0.0176710478362028,"Casp4/Casp1",2
"GO:0050892","intestinal absorption","2/22","47/28832",0.0425531914893617,55.7678916827853,10.3839215707601,0.000588435790626244,0.0307590239110163,0.0176710478362028,"Lima1/Vdr",2
"GO:0071542","dopaminergic neuron differentiation","2/22","47/28832",0.0425531914893617,55.7678916827853,10.3839215707601,0.000588435790626244,0.0307590239110163,0.0176710478362028,"Ryk/Pax5",2
"GO:0070269","pyroptotic inflammatory response","2/22","48/28832",0.0416666666666667,54.6060606060606,10.2713730553409,0.0006137363925907,0.0307590239110163,0.0176710478362028,"Casp4/Casp1",2
"GO:0007520","myoblast fusion","2/22","52/28832",0.0384615384615385,50.4055944055944,9.85375976741168,0.000720135014568038,0.0335432422076674,0.0192705802156725,"Casp1/Cxcl10",2
"GO:0010934","macrophage cytokine production","2/22","53/28832",0.0377358490566038,49.4545454545455,9.7567274515292,0.000748030049232019,0.0335432422076674,0.0192705802156725,"Casp4/Casp1",2
"GO:0007623","circadian rhythm","3/22","256/28832",0.01171875,15.3579545454545,6.37648588223837,0.000940308438893394,0.0350807683625388,0.0201538884217699,"Casp1/Maged1/Bhlhe40",3
"GO:0001961","positive regulation of cytokine-mediated signaling pathway","2/22","60/28832",0.0333333333333333,43.6848484848485,9.14605708884391,0.000957721499051716,0.0350807683625388,0.0201538884217699,"Casp4/Casp1",2
"GO:0044060","regulation of endocrine process","2/22","61/28832",0.0327868852459016,42.9687034277198,9.06739542930277,0.000989729545692283,0.0350807683625388,0.0201538884217699,"Ptpn11/Vdr",2
"GO:0060443","mammary gland morphogenesis","2/22","62/28832",0.032258064516129,42.2756598240469,8.99061711448007,0.00102224843872505,0.0350807683625388,0.0201538884217699,"Sostdc1/Vdr",2
"GO:0048705","skeletal system morphogenesis","3/22","270/28832",0.0111111111111111,14.5616161616162,6.18683576216899,0.00109624077322092,0.0350807683625388,0.0201538884217699,"Ryk/Pax5/Vdr",3
