"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002443","leukocyte mediated immunity","28/307","306/11987",0.0915032679738562,3.572800238445,7.3911441361703,4.91468456347452e-09,1.20584794392447e-05,9.91082988144827e-06,"Il2rb/P2rx7/Pou2f2/Lag3/Stx11/Fes/Ccr6/Fcmr/Cd80/Slamf1/Klrd1/Klrk1/Foxp3/Il7r/Trpm4/Ahr/Lta/Il21/Dnase1/Lyn/Ighd/Ccr2/Klrb1a/Lyst/F2rl1/Klrb1c/F2/Adora3",28
"GO:0032103","positive regulation of response to external stimulus","35/307","459/11987",0.0762527233115468,2.9773335320375,7.00316232951178,6.91030340357861e-09,1.20584794392447e-05,9.91082988144827e-06,"Nrp1/Gbp2b/Trpv4/Ccn4/Alpk1/P2rx7/Nlrp1a/Tiam1/Unc13b/Csf1/Gbp3/Lag3/Oas1e/Ccr6/Sec14l1/Slamf1/Klrd1/Ccr4/Usp27x/Camk2n1/Klrk1/Gfi1/Ifi208/Map3k8/Lta/Il21/Lyn/App/Ccr2/Dab2ip/F2rl1/Klrb1c/Adora3/Ntrk3/Ccl5",35
"GO:0060326","cell chemotaxis","19/307","158/11987",0.120253164556962,4.69535727538861,7.58046529744982,2.09817160688516e-08,2.11533341085578e-05,1.73858650115578e-05,"Nrp1/Lef1/Trpv4/Tiam1/Csf1/Ccr6/Slamf1/Ccr4/Klrk1/Ccl20/Trpm4/Lyn/Cxcl9/App/Ccr2/Lyst/F2rl1/Ccr9/Ccl5",19
"GO:0001906","cell killing","18/307","143/11987",0.125874125874126,4.91483109724152,7.63513555303324,2.4244509006943e-08,2.11533341085578e-05,1.73858650115578e-05,"Gbp2b/P2rx7/Gbp3/Lag3/Stx11/Klrd1/Klrk1/Il7r/Ccl20/Il21/Dnase1/Cxcl9/Bcl2l11/Klrb1a/Lyst/F2rl1/Klrb1c/F2",18
"GO:0002252","immune effector process","34/307","465/11987",0.0731182795698925,2.85494728731043,6.61422579464216,3.27552437913474e-08,2.28631601663605e-05,1.87911661750362e-05,"Il2rb/Lef1/Tnfrsf4/P2rx7/Pou2f2/Lag3/Stx11/Fes/Rorc/Il10/Ccr6/Fcmr/Cd80/Slamf1/Klrd1/Klrk1/Foxp3/Il7r/Trpm4/Notch2/Ahr/Lta/Il21/Dnase1/Lyn/Ighd/App/Ccr2/Klrb1a/Lyst/F2rl1/Klrb1c/F2/Adora3",34
"GO:0051249","regulation of lymphocyte activation","30/307","393/11987",0.0763358778625954,2.98058035159261,6.47227551867221,8.68416882788358e-08,4.59822030602425e-05,3.77926416344928e-05,"Ctla4/Il2ra/Tigit/Lef1/Tnfrsf4/Icos/Cd83/Lag3/Rorc/Twsg1/Pdcd1lg2/Il10/Tgfbr2/Cd80/Slamf1/Klrd1/Foxp3/Il7r/Ahr/Lrrc32/Il21/Lyn/Ighd/Ccr2/Ikzf3/Tcf7/Lyst/Id2/Ccl5/Il1rl2",30
"GO:0009617","response to bacterium","33/307","462/11987",0.0714285714285714,2.78897161470451,6.35753666530597,9.22279144474777e-08,4.59822030602425e-05,3.77926416344928e-05,"Gbp2b/Alpk1/P2rx7/Penk/Nlrp1a/Rgs1/Unc13b/Gbp3/B3galt5/Oas1e/Naip6/Pdcd1lg2/Il10/Cd80/Cd79b/Ccr4/Klrk1/Foxp3/Il7r/Gfi1/Notch2/Ahr/Lta/Lyn/Cxcl9/App/Dab2ip/Ikzf3/Lyst/F2rl1/F2/Resf1/Sgms1",33
"GO:0002520","immune system development","19/307","181/11987",0.104972375690608,4.09870966580884,6.8101031156717,1.88978854105478e-07,6.33606394048169e-05,5.20759289332306e-05,"Il2ra/Lef1/Icos/Ezh2/Rorc/Ccr6/Tgfbr2/Ccr4/Foxp3/Il7r/Ahr/Lta/Lyn/Ighd/Bcl2l11/Tgfbr1/Tcf7/Samhd1/Id2",19
"GO:0002449","lymphocyte mediated immunity","22/307","239/11987",0.0920502092050209,3.59415588840582,6.56746784028405,2.09582026651978e-07,6.33606394048169e-05,5.20759289332306e-05,"Il2rb/P2rx7/Pou2f2/Lag3/Stx11/Ccr6/Fcmr/Cd80/Slamf1/Klrd1/Klrk1/Foxp3/Il7r/Trpm4/Ahr/Lta/Il21/Ighd/Ccr2/Klrb1a/Lyst/Klrb1c",22
"GO:0002703","regulation of leukocyte mediated immunity","20/307","201/11987",0.0995024875621891,3.88513458764808,6.68753072861955,2.16150643883923e-07,6.33606394048169e-05,5.20759289332306e-05,"P2rx7/Lag3/Fes/Cd80/Slamf1/Klrd1/Klrk1/Foxp3/Il7r/Trpm4/Ahr/Lta/Il21/Dnase1/Lyn/Ccr2/Klrb1a/F2rl1/Klrb1c/Adora3",20
"GO:1903131","mononuclear cell differentiation","31/307","435/11987",0.071264367816092,2.78256018570519,6.13967161971293,2.44515840587208e-07,6.33606394048169e-05,5.20759289332306e-05,"Ctla4/Il2ra/Lef1/Pou2f2/Cd83/Csf1/Lag3/Ezh2/Lif/Fes/Rorc/Il10/Ccr6/Tgfbr2/Slamf1/Cd79b/Foxp3/Il7r/Notch2/Ifi208/Ahr/Il21/Lyn/App/Ccr2/Ikzf3/Tcf7/F2rl1/Ccr9/Id2/Il1rl2",31
"GO:0031349","positive regulation of defense response","29/307","391/11987",0.0741687979539642,2.89596541066504,6.17944666732687,2.65786208608797e-07,6.33606394048169e-05,5.20759289332306e-05,"Gbp2b/Trpv4/Ccn4/Alpk1/P2rx7/Penk/Nlrp1a/Unc13b/Gbp3/Lag3/Oas1e/Sec14l1/Klrd1/Usp27x/Camk2n1/Klrk1/Gfi1/Ifi208/Map3k8/Lta/Il21/Lyn/App/Ccr2/Dab2ip/F2rl1/Klrb1c/Adora3/Ccl5",29
