"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_IL2_STAT5_SIGNALING",4.03299326568607e-09,1.97616670018617e-07,0.761460801445585,0.848182633485212,2.23006493459121,185,"ENSMUSG00000026770;ENSMUSG00000068227;ENSMUSG00000026011;ENSMUSG00000031932;ENSMUSG00000025810;ENSMUSG00000028268;ENSMUSG00000029075;ENSMUSG00000025997;ENSMUSG00000032420;ENSMUSG00000005947;ENSMUSG00000026009;ENSMUSG00000037820;ENSMUSG00000020027;ENSMUSG00000038172;ENSMUSG00000032261;ENSMUSG00000062661;ENSMUSG00000002578;ENSMUSG00000054469;ENSMUSG00000035473;ENSMUSG00000002489;ENSMUSG00000056737;ENSMUSG00000045573;ENSMUSG00000069833;ENSMUSG00000016529;ENSMUSG00000032578;ENSMUSG00000015396;ENSMUSG00000014599;ENSMUSG00000040592;ENSMUSG00000024235;ENSMUSG00000066026;ENSMUSG00000002365;ENSMUSG00000055407;ENSMUSG00000003153;ENSMUSG00000047898;ENSMUSG00000024014;ENSMUSG00000025068;ENSMUSG00000019256;ENSMUSG00000034394;ENSMUSG00000032220;ENSMUSG00000024098;ENSMUSG00000011256;ENSMUSG00000028108;ENSMUSG00000025780;ENSMUSG00000022636;ENSMUSG00000059325;ENSMUSG00000026475;ENSMUSG00000029204;ENSMUSG00000028602;ENSMUSG00000041954;ENSMUSG00000021356;ENSMUSG00000026073;ENSMUSG00000039899;ENSMUSG00000030029;ENSMUSG00000017499;ENSMUSG00000032369;ENSMUSG00000068129;ENSMUSG00000028278;ENSMUSG00000068923;ENSMUSG00000023830;ENSMUSG00000079110;ENSMUSG00000030208;ENSMUSG00000061436;ENSMUSG00000035901;ENSMUSG00000028480;ENSMUSG00000020009;ENSMUSG00000026875;ENSMUSG00000037706;ENSMUSG00000021759;ENSMUSG00000015355;ENSMUSG00000067336;ENSMUSG00000006651;ENSMUSG00000037370;ENSMUSG00000019817;ENSMUSG00000056749;ENSMUSG00000057329;ENSMUSG00000020484;ENSMUSG00000031015;ENSMUSG00000022015;ENSMUSG00000028965;ENSMUSG00000029994"
"HALLMARK_ALLOGRAFT_REJECTION",0.00638583552280133,0.106326800249645,0.407017918923954,0.635703356795993,1.66312662615803,160,"ENSMUSG00000026770;ENSMUSG00000068227;ENSMUSG00000049103;ENSMUSG00000056737;ENSMUSG00000016529;ENSMUSG00000014599;ENSMUSG00000034394;ENSMUSG00000075122;ENSMUSG00000027249;ENSMUSG00000021356;ENSMUSG00000030268;ENSMUSG00000015437;ENSMUSG00000048376;ENSMUSG00000017146;ENSMUSG00000020009;ENSMUSG00000024334;ENSMUSG00000028270;ENSMUSG00000020077"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00650980409691704,0.106326800249645,0.407017918923954,0.693880901929506,1.6769793054353,62,"ENSMUSG00000026770;ENSMUSG00000014599;ENSMUSG00000024235;ENSMUSG00000024014;ENSMUSG00000026073;ENSMUSG00000003206;ENSMUSG00000020009;ENSMUSG00000032175;ENSMUSG00000053113;ENSMUSG00000021756;ENSMUSG00000028599;ENSMUSG00000000791"
"HALLMARK_G2M_CHECKPOINT",0.0145106535425612,0.165455761138872,0.380730400722792,0.600254989869538,1.57558474166025,192,"ENSMUSG00000032783;ENSMUSG00000031004;ENSMUSG00000020914;ENSMUSG00000029687;ENSMUSG00000027878;ENSMUSG00000034349;ENSMUSG00000001403;ENSMUSG00000019942;ENSMUSG00000032586;ENSMUSG00000012443;ENSMUSG00000017499;ENSMUSG00000037894;ENSMUSG00000000028;ENSMUSG00000027490;ENSMUSG00000057406;ENSMUSG00000030867;ENSMUSG00000045103;ENSMUSG00000028678;ENSMUSG00000023015;ENSMUSG00000017716;ENSMUSG00000027306;ENSMUSG00000036768;ENSMUSG00000026605;ENSMUSG00000026622;ENSMUSG00000002835;ENSMUSG00000069662;ENSMUSG00000018362;ENSMUSG00000021109;ENSMUSG00000028693;ENSMUSG00000028702;ENSMUSG00000022033;ENSMUSG00000027715;ENSMUSG00000062248;ENSMUSG00000020897;ENSMUSG00000032402;ENSMUSG00000037628;ENSMUSG00000024660;ENSMUSG00000032113;ENSMUSG00000037313;ENSMUSG00000028312;ENSMUSG00000027379"
"HALLMARK_E2F_TARGETS",0.0182097372189104,0.165455761138872,0.352487857583619,0.603647468992516,1.58632476247289,199,"ENSMUSG00000051378;ENSMUSG00000005233;ENSMUSG00000031004;ENSMUSG00000020914;ENSMUSG00000020649;ENSMUSG00000029687;ENSMUSG00000034349;ENSMUSG00000038252;ENSMUSG00000021569;ENSMUSG00000019942;ENSMUSG00000054717;ENSMUSG00000035683;ENSMUSG00000037894;ENSMUSG00000017146;ENSMUSG00000022797;ENSMUSG00000030867;ENSMUSG00000028678;ENSMUSG00000023015;ENSMUSG00000017716;ENSMUSG00000074476;ENSMUSG00000022021;ENSMUSG00000018362;ENSMUSG00000028633;ENSMUSG00000028693;ENSMUSG00000068101;ENSMUSG00000023104;ENSMUSG00000029516;ENSMUSG00000027203;ENSMUSG00000062248;ENSMUSG00000026429;ENSMUSG00000020897;ENSMUSG00000037628;ENSMUSG00000032113;ENSMUSG00000028175;ENSMUSG00000038644;ENSMUSG00000037313"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0202598891190456,0.165455761138872,0.352487857583619,-0.592378857017914,-1.66469127020009,31,"ENSMUSG00000000782;ENSMUSG00000027985;ENSMUSG00000030170;ENSMUSG00000021224;ENSMUSG00000020918"
"HALLMARK_APICAL_SURFACE",0.0308455105714945,0.171573077421865,0.352487857583619,0.754980977731512,1.66369358039389,23,"ENSMUSG00000068227;ENSMUSG00000035107;ENSMUSG00000039166;ENSMUSG00000017146"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0347533632286996,0.171573077421865,0.257206466468838,0.617457704688603,1.5558464930126,90,"ENSMUSG00000028268;ENSMUSG00000014599;ENSMUSG00000027078;ENSMUSG00000024079;ENSMUSG00000032369;ENSMUSG00000043953;ENSMUSG00000039853;ENSMUSG00000028270;ENSMUSG00000039682;ENSMUSG00000039236;ENSMUSG00000017830;ENSMUSG00000060591;ENSMUSG00000022906;ENSMUSG00000024338;ENSMUSG00000039697;ENSMUSG00000025888;ENSMUSG00000041135;ENSMUSG00000034422;ENSMUSG00000022587;ENSMUSG00000026029;ENSMUSG00000057137;ENSMUSG00000064215;ENSMUSG00000031813;ENSMUSG00000035692;ENSMUSG00000037321"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0357529794149512,0.171573077421865,0.248911114434702,0.576378636788197,1.49268978792674,135,"ENSMUSG00000037820;ENSMUSG00000024935;ENSMUSG00000002489;ENSMUSG00000032578;ENSMUSG00000066026;ENSMUSG00000042474;ENSMUSG00000052302;ENSMUSG00000018428;ENSMUSG00000042105;ENSMUSG00000030029;ENSMUSG00000063873;ENSMUSG00000041782;ENSMUSG00000040918;ENSMUSG00000018900;ENSMUSG00000039474;ENSMUSG00000057329;ENSMUSG00000020484;ENSMUSG00000063415;ENSMUSG00000020142;ENSMUSG00000023243;ENSMUSG00000003585;ENSMUSG00000060675;ENSMUSG00000021756;ENSMUSG00000030693;ENSMUSG00000029378;ENSMUSG00000015093;ENSMUSG00000042784;ENSMUSG00000003032;ENSMUSG00000048490;ENSMUSG00000037465;ENSMUSG00000068740;ENSMUSG00000024034;ENSMUSG00000003271;ENSMUSG00000047281;ENSMUSG00000037419;ENSMUSG00000045136;ENSMUSG00000050953;ENSMUSG00000031751"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0375782881002088,0.171573077421865,0.237793834423688,0.560817570241264,1.47127519118336,172,"ENSMUSG00000068227;ENSMUSG00000028268;ENSMUSG00000027639;ENSMUSG00000027078;ENSMUSG00000024014;ENSMUSG00000021356;ENSMUSG00000024079;ENSMUSG00000074151;ENSMUSG00000030156;ENSMUSG00000039899;ENSMUSG00000032369;ENSMUSG00000038058;ENSMUSG00000019947;ENSMUSG00000021025;ENSMUSG00000039853;ENSMUSG00000073002;ENSMUSG00000039682;ENSMUSG00000053113;ENSMUSG00000039236;ENSMUSG00000021109;ENSMUSG00000017830;ENSMUSG00000060591;ENSMUSG00000027962;ENSMUSG00000031628;ENSMUSG00000024338;ENSMUSG00000032089;ENSMUSG00000025888;ENSMUSG00000041515;ENSMUSG00000041135;ENSMUSG00000028163;ENSMUSG00000022901;ENSMUSG00000034422;ENSMUSG00000022587;ENSMUSG00000037649;ENSMUSG00000025076;ENSMUSG00000026029;ENSMUSG00000064215;ENSMUSG00000105096;ENSMUSG00000032184;ENSMUSG00000026580;ENSMUSG00000026104;ENSMUSG00000027678"
