"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_IL2_STAT5_SIGNALING",1.04520565556925e-17,5.12150771228935e-16,1.0864405425825,-0.635105717721122,-2.46840096077795,185,"ENSMUSG00000025810;ENSMUSG00000025997;ENSMUSG00000028173;ENSMUSG00000069833;ENSMUSG00000054720;ENSMUSG00000054469;ENSMUSG00000029075;ENSMUSG00000024014;ENSMUSG00000021108;ENSMUSG00000014599;ENSMUSG00000032420;ENSMUSG00000026009;ENSMUSG00000059325;ENSMUSG00000028599;ENSMUSG00000030029;ENSMUSG00000035356;ENSMUSG00000067336;ENSMUSG00000028268;ENSMUSG00000061436;ENSMUSG00000015396;ENSMUSG00000026770;ENSMUSG00000019817;ENSMUSG00000039304;ENSMUSG00000031015;ENSMUSG00000000078;ENSMUSG00000005947;ENSMUSG00000000184;ENSMUSG00000017774;ENSMUSG00000034266;ENSMUSG00000022636;ENSMUSG00000028108;ENSMUSG00000002489;ENSMUSG00000031932;ENSMUSG00000039899;ENSMUSG00000021466;ENSMUSG00000027678;ENSMUSG00000068227;ENSMUSG00000028965;ENSMUSG00000024235;ENSMUSG00000002578;ENSMUSG00000001918;ENSMUSG00000027087;ENSMUSG00000029204;ENSMUSG00000026069;ENSMUSG00000030447;ENSMUSG00000022244;ENSMUSG00000032089;ENSMUSG00000026011;ENSMUSG00000037706;ENSMUSG00000056749;ENSMUSG00000047898;ENSMUSG00000022346;ENSMUSG00000003153;ENSMUSG00000032220;ENSMUSG00000011179;ENSMUSG00000005087;ENSMUSG00000068129;ENSMUSG00000016528;ENSMUSG00000026721;ENSMUSG00000060147;ENSMUSG00000020027;ENSMUSG00000028602;ENSMUSG00000019872"
"HALLMARK_INFLAMMATORY_RESPONSE",0.000193717535300213,0.00240398548198946,0.518848077743792,-0.437936601436783,-1.73754143587851,129,"ENSMUSG00000003882;ENSMUSG00000029417;ENSMUSG00000042228;ENSMUSG00000014599;ENSMUSG00000058835;ENSMUSG00000028599;ENSMUSG00000035042;ENSMUSG00000024079;ENSMUSG00000026358;ENSMUSG00000039304;ENSMUSG00000000078;ENSMUSG00000022587;ENSMUSG00000032570;ENSMUSG00000021025;ENSMUSG00000027215;ENSMUSG00000025321;ENSMUSG00000026946;ENSMUSG00000059588;ENSMUSG00000068227;ENSMUSG00000029468;ENSMUSG00000028965;ENSMUSG00000041313;ENSMUSG00000021451;ENSMUSG00000024308;ENSMUSG00000038188;ENSMUSG00000032089"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000194935769856621,0.00240398548198946,0.518848077743792,-0.560576832215726,-1.9487697186648,62,"ENSMUSG00000029417;ENSMUSG00000004040;ENSMUSG00000024014;ENSMUSG00000014599;ENSMUSG00000027009;ENSMUSG00000028599;ENSMUSG00000002603;ENSMUSG00000027540;ENSMUSG00000026770;ENSMUSG00000058427;ENSMUSG00000024235;ENSMUSG00000024539;ENSMUSG00000029084;ENSMUSG00000015966;ENSMUSG00000043733;ENSMUSG00000022969;ENSMUSG00000005087"
"HALLMARK_MYC_TARGETS_V1",0.000196243712815467,0.00240398548198946,0.518848077743792,-0.374728573373424,-1.49136979702856,201,"ENSMUSG00000037894;ENSMUSG00000031948;ENSMUSG00000021377;ENSMUSG00000029169;ENSMUSG00000071172;ENSMUSG00000038965;ENSMUSG00000027715;ENSMUSG00000029686;ENSMUSG00000020849;ENSMUSG00000024436;ENSMUSG00000025742;ENSMUSG00000022858;ENSMUSG00000068882;ENSMUSG00000026355;ENSMUSG00000005846;ENSMUSG00000027566;ENSMUSG00000042354;ENSMUSG00000000568;ENSMUSG00000018583;ENSMUSG00000039630;ENSMUSG00000002129;ENSMUSG00000020368;ENSMUSG00000022346;ENSMUSG00000058799;ENSMUSG00000022283;ENSMUSG00000037851;ENSMUSG00000027342;ENSMUSG00000030751;ENSMUSG00000011179;ENSMUSG00000036371;ENSMUSG00000074656;ENSMUSG00000031672;ENSMUSG00000059796;ENSMUSG00000026037;ENSMUSG00000030057;ENSMUSG00000076432;ENSMUSG00000028394;ENSMUSG00000034681;ENSMUSG00000027236;ENSMUSG00000007739;ENSMUSG00000037601;ENSMUSG00000054766;ENSMUSG00000000088;ENSMUSG00000021832;ENSMUSG00000060373;ENSMUSG00000046434;ENSMUSG00000030512;ENSMUSG00000029430;ENSMUSG00000032301;ENSMUSG00000038014;ENSMUSG00000028426"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000358130350225937,0.00350967743221419,0.49849310876659,-0.401635728465334,-1.57224214013025,172,"ENSMUSG00000029417;ENSMUSG00000027366;ENSMUSG00000004040;ENSMUSG00000024014;ENSMUSG00000024610;ENSMUSG00000037921;ENSMUSG00000035042;ENSMUSG00000024079;ENSMUSG00000028268;ENSMUSG00000027540;ENSMUSG00000039304;ENSMUSG00000047735;ENSMUSG00000022587;ENSMUSG00000060550;ENSMUSG00000035692;ENSMUSG00000021025;ENSMUSG00000026946;ENSMUSG00000039899;ENSMUSG00000060802;ENSMUSG00000027678;ENSMUSG00000027639;ENSMUSG00000068227;ENSMUSG00000021408;ENSMUSG00000004266;ENSMUSG00000056091;ENSMUSG00000024308;ENSMUSG00000020638;ENSMUSG00000022216;ENSMUSG00000032184;ENSMUSG00000032089;ENSMUSG00000024539;ENSMUSG00000029084;ENSMUSG00000022014;ENSMUSG00000024601"
"HALLMARK_COAGULATION",0.00417735923719159,0.0341151004370647,0.407017918923954,0.636959300489031,1.60058981698976,61,"ENSMUSG00000000901;ENSMUSG00000027249;ENSMUSG00000000957;ENSMUSG00000042622;ENSMUSG00000019960;ENSMUSG00000017737;ENSMUSG00000018648;ENSMUSG00000072115;ENSMUSG00000023094;ENSMUSG00000030342"
"HALLMARK_TGF_BETA_SIGNALING",0.00653651862113871,0.0436488746311964,0.407017918923954,-0.54450049164929,-1.73346609678387,40,"ENSMUSG00000018363;ENSMUSG00000025860;ENSMUSG00000002603;ENSMUSG00000067336;ENSMUSG00000061436;ENSMUSG00000029050;ENSMUSG00000027660;ENSMUSG00000021096;ENSMUSG00000028284;ENSMUSG00000007613;ENSMUSG00000006932;ENSMUSG00000025880;ENSMUSG00000052837"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00712634687856268,0.0436488746311964,0.407017918923954,-0.368622956994776,-1.47883278466327,156,"ENSMUSG00000003882;ENSMUSG00000040128;ENSMUSG00000014599;ENSMUSG00000020120;ENSMUSG00000035042;ENSMUSG00000015396;ENSMUSG00000069114;ENSMUSG00000064289;ENSMUSG00000028793;ENSMUSG00000000078;ENSMUSG00000021025;ENSMUSG00000038418;ENSMUSG00000058427;ENSMUSG00000020275;ENSMUSG00000028965;ENSMUSG00000024235;ENSMUSG00000056749;ENSMUSG00000032501;ENSMUSG00000031934;ENSMUSG00000022346;ENSMUSG00000003153;ENSMUSG00000005087;ENSMUSG00000039942;ENSMUSG00000020423;ENSMUSG00000052837;ENSMUSG00000003847;ENSMUSG00000037868;ENSMUSG00000039217;ENSMUSG00000075122;ENSMUSG00000028163;ENSMUSG00000022863;ENSMUSG00000044786;ENSMUSG00000042677"
"HALLMARK_UV_RESPONSE_DN",0.0113019820229732,0.0615330132361876,0.380730400722792,-0.395567238775921,-1.46192463061049,98,"ENSMUSG00000025810;ENSMUSG00000021681;ENSMUSG00000027312;ENSMUSG00000032570;ENSMUSG00000028101;ENSMUSG00000022141;ENSMUSG00000019843;ENSMUSG00000023088;ENSMUSG00000032440;ENSMUSG00000026463;ENSMUSG00000026478;ENSMUSG00000041313;ENSMUSG00000002107;ENSMUSG00000024431;ENSMUSG00000035851;ENSMUSG00000039943;ENSMUSG00000048874;ENSMUSG00000032413;ENSMUSG00000022346"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0160535739095763,0.0786625121569239,0.352487857583619,-0.378645995173954,-1.40245821240401,90,"ENSMUSG00000014599;ENSMUSG00000024610;ENSMUSG00000037921;ENSMUSG00000024079;ENSMUSG00000028268;ENSMUSG00000047735;ENSMUSG00000022587;ENSMUSG00000060550;ENSMUSG00000035692;ENSMUSG00000026946;ENSMUSG00000060802;ENSMUSG00000020638;ENSMUSG00000002227;ENSMUSG00000022216;ENSMUSG00000022014"
