"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GSE7852_TREG_VS_TCONV_LN_UP",2.21750355680112e-23,1.08036773287351e-19,1.25451347943706,-0.677604111942741,-2.75619636621854,196,"ENSMUSG00000025810;ENSMUSG00000039521;ENSMUSG00000017707;ENSMUSG00000028173;ENSMUSG00000069833;ENSMUSG00000026483;ENSMUSG00000054469;ENSMUSG00000029075;ENSMUSG00000031246;ENSMUSG00000037894;ENSMUSG00000032420;ENSMUSG00000034573;ENSMUSG00000018900;ENSMUSG00000001576;ENSMUSG00000059325;ENSMUSG00000028599;ENSMUSG00000030029;ENSMUSG00000035356;ENSMUSG00000028268;ENSMUSG00000026358;ENSMUSG00000034853;ENSMUSG00000046169;ENSMUSG00000015396;ENSMUSG00000026770;ENSMUSG00000035239;ENSMUSG00000019817;ENSMUSG00000043252;ENSMUSG00000029822;ENSMUSG00000031015;ENSMUSG00000000078;ENSMUSG00000030134;ENSMUSG00000005947;ENSMUSG00000022876;ENSMUSG00000031428;ENSMUSG00000054871;ENSMUSG00000039899;ENSMUSG00000020275;ENSMUSG00000021375;ENSMUSG00000026478;ENSMUSG00000020021;ENSMUSG00000024235;ENSMUSG00000020128;ENSMUSG00000043924;ENSMUSG00000027087;ENSMUSG00000024095;ENSMUSG00000026069;ENSMUSG00000039943;ENSMUSG00000037706;ENSMUSG00000079442;ENSMUSG00000069895;ENSMUSG00000028645;ENSMUSG00000031402;ENSMUSG00000003153;ENSMUSG00000040274;ENSMUSG00000011179;ENSMUSG00000045103;ENSMUSG00000068129;ENSMUSG00000028337;ENSMUSG00000020707;ENSMUSG00000060147;ENSMUSG00000020027;ENSMUSG00000022324;ENSMUSG00000042105;ENSMUSG00000001419;ENSMUSG00000030114;ENSMUSG00000029772;ENSMUSG00000049687;ENSMUSG00000026600;ENSMUSG00000034317;ENSMUSG00000003847;ENSMUSG00000030727;ENSMUSG00000038332;ENSMUSG00000028159;ENSMUSG00000048285;ENSMUSG00000041954;ENSMUSG00000035164;ENSMUSG00000035891;ENSMUSG00000048120;ENSMUSG00000026223;ENSMUSG00000028005;ENSMUSG00000028521;ENSMUSG00000056498;ENSMUSG00000052117;ENSMUSG00000021356;ENSMUSG00000037815;ENSMUSG00000031530;ENSMUSG00000041891"
"GSE20366_TREG_VS_NAIVE_CD4_TCELL_UP",4.79955664481649e-19,1.1691719986773e-15,1.12391496374483,-0.631774598589242,-2.60796351192367,197,"ENSMUSG00000036109;ENSMUSG00000039521;ENSMUSG00000076617;ENSMUSG00000028173;ENSMUSG00000054469;ENSMUSG00000029075;ENSMUSG00000024014;ENSMUSG00000015733;ENSMUSG00000004446;ENSMUSG00000040253;ENSMUSG00000062078;ENSMUSG00000059336;ENSMUSG00000026950;ENSMUSG00000028268;ENSMUSG00000039765;ENSMUSG00000021870;ENSMUSG00000015396;ENSMUSG00000037652;ENSMUSG00000021115;ENSMUSG00000031015;ENSMUSG00000030134;ENSMUSG00000074305;ENSMUSG00000020744;ENSMUSG00000025321;ENSMUSG00000015970;ENSMUSG00000028108;ENSMUSG00000031932;ENSMUSG00000054871;ENSMUSG00000021466;ENSMUSG00000027678;ENSMUSG00000027639;ENSMUSG00000068227;ENSMUSG00000032436;ENSMUSG00000028965;ENSMUSG00000041992;ENSMUSG00000004558;ENSMUSG00000002578;ENSMUSG00000031562;ENSMUSG00000042548;ENSMUSG00000047115;ENSMUSG00000043924;ENSMUSG00000029204;ENSMUSG00000028790;ENSMUSG00000026069;ENSMUSG00000036093;ENSMUSG00000038776;ENSMUSG00000037706;ENSMUSG00000007613;ENSMUSG00000022346;ENSMUSG00000031402;ENSMUSG00000006014;ENSMUSG00000003153;ENSMUSG00000032220;ENSMUSG00000015966;ENSMUSG00000013236;ENSMUSG00000006800;ENSMUSG00000042474;ENSMUSG00000009621;ENSMUSG00000078185;ENSMUSG00000105906;ENSMUSG00000020027;ENSMUSG00000028339;ENSMUSG00000037795;ENSMUSG00000075703;ENSMUSG00000037400;ENSMUSG00000073096;ENSMUSG00000034158;ENSMUSG00000025780;ENSMUSG00000034317;ENSMUSG00000032265;ENSMUSG00000029672;ENSMUSG00000028522;ENSMUSG00000029814;ENSMUSG00000038332;ENSMUSG00000034342;ENSMUSG00000048285;ENSMUSG00000041954;ENSMUSG00000027286;ENSMUSG00000048120;ENSMUSG00000025477;ENSMUSG00000030059;ENSMUSG00000003746;ENSMUSG00000019916;ENSMUSG00000028521;ENSMUSG00000037331;ENSMUSG00000040669;ENSMUSG00000015961;ENSMUSG00000001768;ENSMUSG00000031530"
"GSE37301_PRO_BCELL_VS_RAG2_KO_NK_CELL_DN",1.03088213503177e-18,1.6741525872916e-15,1.11466447751729,-0.652978007894129,-2.66560085931485,175,"ENSMUSG00000025810;ENSMUSG00000039114;ENSMUSG00000028173;ENSMUSG00000028073;ENSMUSG00000029075;ENSMUSG00000014599;ENSMUSG00000004446;ENSMUSG00000032420;ENSMUSG00000034573;ENSMUSG00000018900;ENSMUSG00000028599;ENSMUSG00000042121;ENSMUSG00000026950;ENSMUSG00000002603;ENSMUSG00000021596;ENSMUSG00000064289;ENSMUSG00000037652;ENSMUSG00000019817;ENSMUSG00000043252;ENSMUSG00000039304;ENSMUSG00000029822;ENSMUSG00000031015;ENSMUSG00000027660;ENSMUSG00000022876;ENSMUSG00000030654;ENSMUSG00000026728;ENSMUSG00000019942;ENSMUSG00000020257;ENSMUSG00000025321;ENSMUSG00000032640;ENSMUSG00000020048;ENSMUSG00000026288;ENSMUSG00000007617;ENSMUSG00000026478;ENSMUSG00000029468;ENSMUSG00000020599;ENSMUSG00000024235;ENSMUSG00000042548;ENSMUSG00000001918;ENSMUSG00000037104;ENSMUSG00000024597;ENSMUSG00000033713;ENSMUSG00000021703;ENSMUSG00000032089;ENSMUSG00000026011;ENSMUSG00000028033;ENSMUSG00000037706;ENSMUSG00000056749;ENSMUSG00000037235;ENSMUSG00000018001;ENSMUSG00000047898;ENSMUSG00000031004;ENSMUSG00000007613;ENSMUSG00000041000;ENSMUSG00000022744;ENSMUSG00000013236;ENSMUSG00000040274;ENSMUSG00000042262;ENSMUSG00000030733;ENSMUSG00000024349;ENSMUSG00000005973;ENSMUSG00000039942;ENSMUSG00000009621;ENSMUSG00000032281;ENSMUSG00000031642;ENSMUSG00000055725;ENSMUSG00000074785;ENSMUSG00000029772;ENSMUSG00000053819;ENSMUSG00000038349;ENSMUSG00000025780;ENSMUSG00000039953;ENSMUSG00000051747;ENSMUSG00000036023;ENSMUSG00000029674;ENSMUSG00000041954;ENSMUSG00000035891;ENSMUSG00000028163;ENSMUSG00000074071"
"GSE7852_TREG_VS_TCONV_UP",1.06632413628001e-16,1.29878279798905e-13,1.05746357275086,-0.608469284663081,-2.50973177120056,190,"ENSMUSG00000025997;ENSMUSG00000039114;ENSMUSG00000028173;ENSMUSG00000026483;ENSMUSG00000050912;ENSMUSG00000018171;ENSMUSG00000054469;ENSMUSG00000029075;ENSMUSG00000045071;ENSMUSG00000031246;ENSMUSG00000037894;ENSMUSG00000004446;ENSMUSG00000001576;ENSMUSG00000028599;ENSMUSG00000030759;ENSMUSG00000026950;ENSMUSG00000067336;ENSMUSG00000026358;ENSMUSG00000015396;ENSMUSG00000026770;ENSMUSG00000035239;ENSMUSG00000064289;ENSMUSG00000019817;ENSMUSG00000031652;ENSMUSG00000031015;ENSMUSG00000005947;ENSMUSG00000025321;ENSMUSG00000002489;ENSMUSG00000054871;ENSMUSG00000023088;ENSMUSG00000021375;ENSMUSG00000028965;ENSMUSG00000024235;ENSMUSG00000002578;ENSMUSG00000020128;ENSMUSG00000043924;ENSMUSG00000037104;ENSMUSG00000024095;ENSMUSG00000036093;ENSMUSG00000026011;ENSMUSG00000039943;ENSMUSG00000037706;ENSMUSG00000007613;ENSMUSG00000022744;ENSMUSG00000032220;ENSMUSG00000013236;ENSMUSG00000029759;ENSMUSG00000028337;ENSMUSG00000016528;ENSMUSG00000020027;ENSMUSG00000022324;ENSMUSG00000042105;ENSMUSG00000044149;ENSMUSG00000055725;ENSMUSG00000056737;ENSMUSG00000029772;ENSMUSG00000034158;ENSMUSG00000038349;ENSMUSG00000025780;ENSMUSG00000024425;ENSMUSG00000063439;ENSMUSG00000051413;ENSMUSG00000024096;ENSMUSG00000041954;ENSMUSG00000035891;ENSMUSG00000075122;ENSMUSG00000028163;ENSMUSG00000049804"
"GSE7460_TCONV_VS_TREG_LN_DN",1.80879495484828e-16,1.76248980400417e-13,1.04762648849882,-0.615338506945164,-2.48135677155483,193,"ENSMUSG00000025810;ENSMUSG00000039521;ENSMUSG00000017707;ENSMUSG00000028173;ENSMUSG00000069833;ENSMUSG00000026483;ENSMUSG00000054469;ENSMUSG00000031246;ENSMUSG00000037894;ENSMUSG00000032420;ENSMUSG00000018900;ENSMUSG00000001576;ENSMUSG00000020590;ENSMUSG00000059325;ENSMUSG00000028599;ENSMUSG00000030029;ENSMUSG00000035356;ENSMUSG00000028268;ENSMUSG00000026358;ENSMUSG00000018800;ENSMUSG00000046169;ENSMUSG00000015396;ENSMUSG00000026770;ENSMUSG00000043252;ENSMUSG00000029822;ENSMUSG00000000078;ENSMUSG00000053641;ENSMUSG00000005947;ENSMUSG00000022876;ENSMUSG00000074305;ENSMUSG00000028101;ENSMUSG00000020257;ENSMUSG00000031428;ENSMUSG00000054871;ENSMUSG00000039899;ENSMUSG00000058427;ENSMUSG00000021375;ENSMUSG00000068227;ENSMUSG00000028965;ENSMUSG00000024235;ENSMUSG00000020128;ENSMUSG00000043924;ENSMUSG00000037104;ENSMUSG00000024597;ENSMUSG00000024095;ENSMUSG00000032089;ENSMUSG00000026011;ENSMUSG00000039943;ENSMUSG00000037706;ENSMUSG00000079442;ENSMUSG00000056749;ENSMUSG00000029084;ENSMUSG00000007613;ENSMUSG00000003153;ENSMUSG00000040274;ENSMUSG00000042262;ENSMUSG00000045103;ENSMUSG00000039942;ENSMUSG00000009621;ENSMUSG00000036943;ENSMUSG00000028337;ENSMUSG00000020707;ENSMUSG00000020027;ENSMUSG00000022324;ENSMUSG00000024696;ENSMUSG00000021733;ENSMUSG00000042105;ENSMUSG00000030114;ENSMUSG00000074785;ENSMUSG00000029772;ENSMUSG00000049687;ENSMUSG00000026600;ENSMUSG00000034317"
"GSE40274_LEF1_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",1.23301179697914e-15,1.00120557914706e-12,1.01754479730988,-0.595965286518112,-2.41858920904757,194,"ENSMUSG00000036109;ENSMUSG00000026883;ENSMUSG00000024014;ENSMUSG00000037894;ENSMUSG00000001576;ENSMUSG00000031767;ENSMUSG00000040253;ENSMUSG00000059325;ENSMUSG00000032018;ENSMUSG00000030759;ENSMUSG00000042121;ENSMUSG00000051000;ENSMUSG00000024052;ENSMUSG00000039765;ENSMUSG00000021870;ENSMUSG00000034853;ENSMUSG00000061436;ENSMUSG00000026159;ENSMUSG00000028080;ENSMUSG00000020656;ENSMUSG00000043252;ENSMUSG00000026821;ENSMUSG00000017774;ENSMUSG00000036112;ENSMUSG00000007617;ENSMUSG00000034903;ENSMUSG00000025314;ENSMUSG00000018166;ENSMUSG00000032652;ENSMUSG00000041992;ENSMUSG00000024095;ENSMUSG00000030616;ENSMUSG00000030447;ENSMUSG00000026764;ENSMUSG00000032089;ENSMUSG00000037706;ENSMUSG00000029084;ENSMUSG00000018001;ENSMUSG00000047898;ENSMUSG00000039470;ENSMUSG00000031227;ENSMUSG00000018451;ENSMUSG00000033629;ENSMUSG00000029759;ENSMUSG00000027330;ENSMUSG00000005087;ENSMUSG00000036943;ENSMUSG00000019872;ENSMUSG00000021733;ENSMUSG00000029772;ENSMUSG00000020009;ENSMUSG00000053819;ENSMUSG00000038349;ENSMUSG00000021109;ENSMUSG00000034317;ENSMUSG00000003948;ENSMUSG00000087370;ENSMUSG00000028522;ENSMUSG00000038332;ENSMUSG00000022108;ENSMUSG00000052593;ENSMUSG00000039217;ENSMUSG00000022960;ENSMUSG00000022967;ENSMUSG00000035891;ENSMUSG00000003604;ENSMUSG00000045962;ENSMUSG00000049421;ENSMUSG00000016529;ENSMUSG00000024085;ENSMUSG00000022434;ENSMUSG00000035776;ENSMUSG00000056608;ENSMUSG00000075702;ENSMUSG00000015961;ENSMUSG00000001768;ENSMUSG00000079057;ENSMUSG00000021067;ENSMUSG00000027361;ENSMUSG00000040652;ENSMUSG00000072889;ENSMUSG00000022661;ENSMUSG00000054428"
"GSE5142_CTRL_VS_HTERT_TRANSDUCED_CD8_TCELL_EARLY_PASSAGE_CLONE_UP",1.92749566968584e-15,1.34153698610135e-12,1.00731795687447,-0.596600873708058,-2.4267107167967,196,"ENSMUSG00000025997;ENSMUSG00000025809;ENSMUSG00000017707;ENSMUSG00000028173;ENSMUSG00000069833;ENSMUSG00000018171;ENSMUSG00000054469;ENSMUSG00000029075;ENSMUSG00000040022;ENSMUSG00000031246;ENSMUSG00000034573;ENSMUSG00000040253;ENSMUSG00000059325;ENSMUSG00000030759;ENSMUSG00000028268;ENSMUSG00000036499;ENSMUSG00000026358;ENSMUSG00000060675;ENSMUSG00000068917;ENSMUSG00000021377;ENSMUSG00000046169;ENSMUSG00000026770;ENSMUSG00000020656;ENSMUSG00000030134;ENSMUSG00000074305;ENSMUSG00000017774;ENSMUSG00000026728;ENSMUSG00000027678;ENSMUSG00000028403;ENSMUSG00000020128;ENSMUSG00000001025;ENSMUSG00000028245;ENSMUSG00000030616;ENSMUSG00000030447;ENSMUSG00000035851;ENSMUSG00000026764;ENSMUSG00000039943;ENSMUSG00000037706;ENSMUSG00000037235;ENSMUSG00000035202;ENSMUSG00000021226;ENSMUSG00000059495;ENSMUSG00000045672;ENSMUSG00000040828;ENSMUSG00000068129;ENSMUSG00000009621;ENSMUSG00000021895;ENSMUSG00000032281;ENSMUSG00000026721;ENSMUSG00000020027;ENSMUSG00000022324;ENSMUSG00000021733;ENSMUSG00000042105;ENSMUSG00000055725;ENSMUSG00000040365;ENSMUSG00000026600;ENSMUSG00000021109;ENSMUSG00000050891;ENSMUSG00000001020;ENSMUSG00000055065;ENSMUSG00000034342;ENSMUSG00000041483;ENSMUSG00000034593;ENSMUSG00000075122;ENSMUSG00000035246;ENSMUSG00000021039"
"GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_NEURON_CELL_LINE_DN",4.68761509196049e-14,2.85475759100394e-11,0.965327754226083,-0.570591139468663,-2.31560870823036,199,"ENSMUSG00000025997;ENSMUSG00000036109;ENSMUSG00000039114;ENSMUSG00000069833;ENSMUSG00000026483;ENSMUSG00000028073;ENSMUSG00000054469;ENSMUSG00000045071;ENSMUSG00000021108;ENSMUSG00000037894;ENSMUSG00000032420;ENSMUSG00000018900;ENSMUSG00000026009;ENSMUSG00000028268;ENSMUSG00000036499;ENSMUSG00000039765;ENSMUSG00000015396;ENSMUSG00000026770;ENSMUSG00000031015;ENSMUSG00000026821;ENSMUSG00000005947;ENSMUSG00000022876;ENSMUSG00000017774;ENSMUSG00000031428;ENSMUSG00000034266;ENSMUSG00000022636;ENSMUSG00000031932;ENSMUSG00000007617;ENSMUSG00000026478;ENSMUSG00000027639;ENSMUSG00000030286;ENSMUSG00000041992;ENSMUSG00000028211;ENSMUSG00000024235;ENSMUSG00000002578;ENSMUSG00000020128;ENSMUSG00000001025;ENSMUSG00000019996;ENSMUSG00000037104;ENSMUSG00000026069;ENSMUSG00000040997;ENSMUSG00000038776;ENSMUSG00000037706;ENSMUSG00000018001;ENSMUSG00000047898;ENSMUSG00000039470;ENSMUSG00000006014;ENSMUSG00000003153;ENSMUSG00000032220;ENSMUSG00000027475;ENSMUSG00000059495;ENSMUSG00000041959;ENSMUSG00000036943;ENSMUSG00000032281;ENSMUSG00000031642;ENSMUSG00000020027;ENSMUSG00000013275;ENSMUSG00000021733;ENSMUSG00000042105;ENSMUSG00000000915;ENSMUSG00000030114;ENSMUSG00000056737;ENSMUSG00000029772;ENSMUSG00000025780;ENSMUSG00000032324"
"GSE32255_UNSTIM_VS_4H_LPS_STIM_DC_UP",8.06737083800892e-14,4.3671367469755e-11,0.954541630725724,-0.588828440813538,-2.44249951711376,179,"ENSMUSG00000025810;ENSMUSG00000000266;ENSMUSG00000039114;ENSMUSG00000033184;ENSMUSG00000028073;ENSMUSG00000045071;ENSMUSG00000026384;ENSMUSG00000014599;ENSMUSG00000032420;ENSMUSG00000034573;ENSMUSG00000059325;ENSMUSG00000037572;ENSMUSG00000037474;ENSMUSG00000026950;ENSMUSG00000021596;ENSMUSG00000046169;ENSMUSG00000026159;ENSMUSG00000033450;ENSMUSG00000064289;ENSMUSG00000019817;ENSMUSG00000039304;ENSMUSG00000031015;ENSMUSG00000022876;ENSMUSG00000025321;ENSMUSG00000021998;ENSMUSG00000002489;ENSMUSG00000043230;ENSMUSG00000024759;ENSMUSG00000029468;ENSMUSG00000029204;ENSMUSG00000037104;ENSMUSG00000024597;ENSMUSG00000029084;ENSMUSG00000039470;ENSMUSG00000003153;ENSMUSG00000017843;ENSMUSG00000030047;ENSMUSG00000038151;ENSMUSG00000033629;ENSMUSG00000040828;ENSMUSG00000031555;ENSMUSG00000039942;ENSMUSG00000009621;ENSMUSG00000031642;ENSMUSG00000022324;ENSMUSG00000021733;ENSMUSG00000027206;ENSMUSG00000001175;ENSMUSG00000039153;ENSMUSG00000073096;ENSMUSG00000074785;ENSMUSG00000029772;ENSMUSG00000038349"
"KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN",1.2440401556694e-11,6.06096363842131e-09,0.875325132024659,-0.541578675379597,-2.23291859285251,186,"ENSMUSG00000025810;ENSMUSG00000003882;ENSMUSG00000025809;ENSMUSG00000069833;ENSMUSG00000054720;ENSMUSG00000024014;ENSMUSG00000034573;ENSMUSG00000027009;ENSMUSG00000059325;ENSMUSG00000028599;ENSMUSG00000035042;ENSMUSG00000015619;ENSMUSG00000004263;ENSMUSG00000028268;ENSMUSG00000036499;ENSMUSG00000039304;ENSMUSG00000031652;ENSMUSG00000028793;ENSMUSG00000000078;ENSMUSG00000060550;ENSMUSG00000021248;ENSMUSG00000096145;ENSMUSG00000039899;ENSMUSG00000027907;ENSMUSG00000001025;ENSMUSG00000038991;ENSMUSG00000007891;ENSMUSG00000032184;ENSMUSG00000032089;ENSMUSG00000026011;ENSMUSG00000071076;ENSMUSG00000042747;ENSMUSG00000027663;ENSMUSG00000002129;ENSMUSG00000022744;ENSMUSG00000030824;ENSMUSG00000023015;ENSMUSG00000024513;ENSMUSG00000027342;ENSMUSG00000041959;ENSMUSG00000011179;ENSMUSG00000005087;ENSMUSG00000068129;ENSMUSG00000000486;ENSMUSG00000024317;ENSMUSG00000030036;ENSMUSG00000030114;ENSMUSG00000001281"
