"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GSE4535_BM_DERIVED_DC_VS_FOLLICULAR_DC_UP",1.1092135098815e-20,5.40408822014266e-17,1.1778932614942,-0.787528472483764,-2.65357914142219,192,"ENSMUSG00000025809;ENSMUSG00000027718;ENSMUSG00000025810;ENSMUSG00000074607;ENSMUSG00000033538;ENSMUSG00000043733;ENSMUSG00000033083;ENSMUSG00000015314;ENSMUSG00000027907;ENSMUSG00000028364;ENSMUSG00000027843;ENSMUSG00000024277;ENSMUSG00000032688;ENSMUSG00000038024;ENSMUSG00000033016;ENSMUSG00000022377;ENSMUSG00000034855;ENSMUSG00000025997;ENSMUSG00000028362;ENSMUSG00000034573;ENSMUSG00000025888;ENSMUSG00000018171;ENSMUSG00000019843;ENSMUSG00000013275;ENSMUSG00000039891;ENSMUSG00000034484;ENSMUSG00000021065;ENSMUSG00000020077;ENSMUSG00000020656;ENSMUSG00000022508;ENSMUSG00000005696;ENSMUSG00000055116;ENSMUSG00000033147;ENSMUSG00000037419;ENSMUSG00000043004;ENSMUSG00000022015;ENSMUSG00000032238;ENSMUSG00000016534;ENSMUSG00000062210;ENSMUSG00000052013;ENSMUSG00000034266;ENSMUSG00000057406;ENSMUSG00000033350;ENSMUSG00000062866;ENSMUSG00000036452;ENSMUSG00000037759;ENSMUSG00000020439;ENSMUSG00000024095;ENSMUSG00000029923;ENSMUSG00000027030;ENSMUSG00000026663;ENSMUSG00000030638;ENSMUSG00000029084;ENSMUSG00000022876;ENSMUSG00000026014;ENSMUSG00000040111;ENSMUSG00000015501;ENSMUSG00000016520;ENSMUSG00000038987;ENSMUSG00000039470;ENSMUSG00000096210;ENSMUSG00000041959;ENSMUSG00000030189;ENSMUSG00000008999;ENSMUSG00000027540;ENSMUSG00000041645;ENSMUSG00000043050;ENSMUSG00000089774;ENSMUSG00000038718;ENSMUSG00000032198;ENSMUSG00000004849;ENSMUSG00000032280;ENSMUSG00000023048;ENSMUSG00000039232;ENSMUSG00000032053;ENSMUSG00000017314;ENSMUSG00000039450;ENSMUSG00000046572;ENSMUSG00000029641;ENSMUSG00000015312;ENSMUSG00000001020;ENSMUSG00000033470;ENSMUSG00000020910;ENSMUSG00000054065"
"GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP",1.65383082149831e-16,4.02873188116988e-13,1.04762648849882,-0.75167611613702,-2.52732270919673,193,"ENSMUSG00000025809;ENSMUSG00000027718;ENSMUSG00000025810;ENSMUSG00000033538;ENSMUSG00000043733;ENSMUSG00000033083;ENSMUSG00000015314;ENSMUSG00000027907;ENSMUSG00000028364;ENSMUSG00000024277;ENSMUSG00000033016;ENSMUSG00000022377;ENSMUSG00000025997;ENSMUSG00000028362;ENSMUSG00000025888;ENSMUSG00000025151;ENSMUSG00000018171;ENSMUSG00000019843;ENSMUSG00000030577;ENSMUSG00000013275;ENSMUSG00000033685;ENSMUSG00000020077;ENSMUSG00000020656;ENSMUSG00000022508;ENSMUSG00000026077;ENSMUSG00000005696;ENSMUSG00000033147;ENSMUSG00000037419;ENSMUSG00000043004;ENSMUSG00000022015;ENSMUSG00000016534;ENSMUSG00000074785;ENSMUSG00000032640;ENSMUSG00000062210;ENSMUSG00000034266;ENSMUSG00000056999;ENSMUSG00000062866;ENSMUSG00000060923;ENSMUSG00000037759;ENSMUSG00000020439;ENSMUSG00000029923;ENSMUSG00000026663;ENSMUSG00000030638;ENSMUSG00000029084;ENSMUSG00000026014;ENSMUSG00000040111;ENSMUSG00000005413;ENSMUSG00000015501;ENSMUSG00000039470;ENSMUSG00000096210;ENSMUSG00000017843;ENSMUSG00000033610;ENSMUSG00000018334;ENSMUSG00000015396;ENSMUSG00000030189;ENSMUSG00000089774;ENSMUSG00000024065;ENSMUSG00000038718;ENSMUSG00000022372;ENSMUSG00000039067;ENSMUSG00000023048;ENSMUSG00000039232;ENSMUSG00000038418;ENSMUSG00000032053;ENSMUSG00000062070;ENSMUSG00000048277;ENSMUSG00000017314;ENSMUSG00000039450"
"GSE18203_CTRL_VS_INTRATUMORAL_CPG_INJ_MC38_TUMOR_DN",3.39922155966487e-15,5.52033581289575e-12,1.00731795687447,-0.735211924720991,-2.4775028401063,194,"ENSMUSG00000027718;ENSMUSG00000025810;ENSMUSG00000036169;ENSMUSG00000033538;ENSMUSG00000020644;ENSMUSG00000027907;ENSMUSG00000000869;ENSMUSG00000033016;ENSMUSG00000068923;ENSMUSG00000030103;ENSMUSG00000028362;ENSMUSG00000025888;ENSMUSG00000004612;ENSMUSG00000028223;ENSMUSG00000047880;ENSMUSG00000027330;ENSMUSG00000030447;ENSMUSG00000024812;ENSMUSG00000031004;ENSMUSG00000031342;ENSMUSG00000004105;ENSMUSG00000009248;ENSMUSG00000028073;ENSMUSG00000022508;ENSMUSG00000050232;ENSMUSG00000001025;ENSMUSG00000021109;ENSMUSG00000011179;ENSMUSG00000043004;ENSMUSG00000032231;ENSMUSG00000022015;ENSMUSG00000032238;ENSMUSG00000074785;ENSMUSG00000031479;ENSMUSG00000054717;ENSMUSG00000024791;ENSMUSG00000068220;ENSMUSG00000022744;ENSMUSG00000056999;ENSMUSG00000028691;ENSMUSG00000041762;ENSMUSG00000037759;ENSMUSG00000029571;ENSMUSG00000005087;ENSMUSG00000027715;ENSMUSG00000089911;ENSMUSG00000003948;ENSMUSG00000027306;ENSMUSG00000020914;ENSMUSG00000020649;ENSMUSG00000041959;ENSMUSG00000035105;ENSMUSG00000018451;ENSMUSG00000015396;ENSMUSG00000028551;ENSMUSG00000028044;ENSMUSG00000031352;ENSMUSG00000019942;ENSMUSG00000027342;ENSMUSG00000023048;ENSMUSG00000079037;ENSMUSG00000008035;ENSMUSG00000040997;ENSMUSG00000005470;ENSMUSG00000078652;ENSMUSG00000032053;ENSMUSG00000062070;ENSMUSG00000048277;ENSMUSG00000015312;ENSMUSG00000001020;ENSMUSG00000041729;ENSMUSG00000000751;ENSMUSG00000028788"
"GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_UP",1.81169711480986e-13,2.20664708583841e-10,0.943632225232838,-0.725711211930728,-2.41668815286282,177,"ENSMUSG00000027718;ENSMUSG00000033538;ENSMUSG00000015314;ENSMUSG00000059146;ENSMUSG00000027907;ENSMUSG00000028364;ENSMUSG00000024277;ENSMUSG00000000869;ENSMUSG00000038024;ENSMUSG00000033016;ENSMUSG00000034855;ENSMUSG00000024789;ENSMUSG00000025997;ENSMUSG00000030854;ENSMUSG00000034573;ENSMUSG00000019843;ENSMUSG00000047880;ENSMUSG00000039891;ENSMUSG00000035021;ENSMUSG00000004105;ENSMUSG00000034484;ENSMUSG00000034957;ENSMUSG00000022508;ENSMUSG00000055116;ENSMUSG00000040841;ENSMUSG00000033147;ENSMUSG00000038936;ENSMUSG00000046546;ENSMUSG00000039908;ENSMUSG00000016534;ENSMUSG00000068129;ENSMUSG00000047003;ENSMUSG00000031438;ENSMUSG00000022280;ENSMUSG00000024095;ENSMUSG00000027030;ENSMUSG00000022876;ENSMUSG00000003948;ENSMUSG00000026721;ENSMUSG00000005413;ENSMUSG00000038987;ENSMUSG00000025597;ENSMUSG00000049354;ENSMUSG00000043153;ENSMUSG00000038495;ENSMUSG00000035105;ENSMUSG00000018334;ENSMUSG00000031129;ENSMUSG00000021939;ENSMUSG00000038718;ENSMUSG00000032198;ENSMUSG00000039021;ENSMUSG00000021703;ENSMUSG00000031903;ENSMUSG00000032053;ENSMUSG00000058173;ENSMUSG00000046572;ENSMUSG00000005043;ENSMUSG00000033470;ENSMUSG00000028420;ENSMUSG00000020910;ENSMUSG00000041729;ENSMUSG00000034271"
"GSE20366_TREG_VS_NAIVE_CD4_TCELL_DN",8.53054059341097e-13,8.31215875421964e-10,0.921426003494898,-0.743845420224168,-2.4244290960274,149,"ENSMUSG00000027718;ENSMUSG00000069094;ENSMUSG00000033538;ENSMUSG00000043733;ENSMUSG00000000782;ENSMUSG00000023274;ENSMUSG00000059146;ENSMUSG00000045777;ENSMUSG00000000869;ENSMUSG00000070942;ENSMUSG00000041439;ENSMUSG00000025888;ENSMUSG00000026070;ENSMUSG00000038179;ENSMUSG00000047344;ENSMUSG00000033316;ENSMUSG00000031132;ENSMUSG00000027720;ENSMUSG00000049109;ENSMUSG00000027901;ENSMUSG00000026117;ENSMUSG00000000142;ENSMUSG00000005824;ENSMUSG00000026155;ENSMUSG00000046532;ENSMUSG00000055170;ENSMUSG00000034177;ENSMUSG00000002289;ENSMUSG00000022280;ENSMUSG00000049313;ENSMUSG00000021253;ENSMUSG00000030208;ENSMUSG00000035873;ENSMUSG00000022696;ENSMUSG00000031902;ENSMUSG00000020846;ENSMUSG00000031367;ENSMUSG00000030231;ENSMUSG00000022817;ENSMUSG00000031129;ENSMUSG00000041308;ENSMUSG00000024065;ENSMUSG00000038354;ENSMUSG00000071379;ENSMUSG00000000817;ENSMUSG00000001444;ENSMUSG00000032440;ENSMUSG00000044033;ENSMUSG00000027360;ENSMUSG00000005043;ENSMUSG00000037306;ENSMUSG00000021556;ENSMUSG00000028793;ENSMUSG00000078771;ENSMUSG00000044328;ENSMUSG00000102037;ENSMUSG00000040848;ENSMUSG00000020642;ENSMUSG00000029311;ENSMUSG00000039485;ENSMUSG00000025790;ENSMUSG00000067220;ENSMUSG00000003228;ENSMUSG00000032740;ENSMUSG00000057230;ENSMUSG00000033880"
"GSE39916_B_CELL_SPLEEN_VS_PLASMA_CELL_BONE_MARROW_DN",1.43689458031429e-12,1.1667583992152e-09,0.910119734774459,-0.713310709780172,-2.38770191002351,180,"ENSMUSG00000025809;ENSMUSG00000025810;ENSMUSG00000074607;ENSMUSG00000020644;ENSMUSG00000069833;ENSMUSG00000035042;ENSMUSG00000003882;ENSMUSG00000019872;ENSMUSG00000035133;ENSMUSG00000027907;ENSMUSG00000045777;ENSMUSG00000024277;ENSMUSG00000042385;ENSMUSG00000068923;ENSMUSG00000034573;ENSMUSG00000021470;ENSMUSG00000031202;ENSMUSG00000025888;ENSMUSG00000024300;ENSMUSG00000018171;ENSMUSG00000004612;ENSMUSG00000026070;ENSMUSG00000047880;ENSMUSG00000027330;ENSMUSG00000058297;ENSMUSG00000055435;ENSMUSG00000031342;ENSMUSG00000047344;ENSMUSG00000047507;ENSMUSG00000045441;ENSMUSG00000028073;ENSMUSG00000036943;ENSMUSG00000050232;ENSMUSG00000001025;ENSMUSG00000021109;ENSMUSG00000049577;ENSMUSG00000037419;ENSMUSG00000005824;ENSMUSG00000039908;ENSMUSG00000032238;ENSMUSG00000074785;ENSMUSG00000024424;ENSMUSG00000068129;ENSMUSG00000008206;ENSMUSG00000055170;ENSMUSG00000047415;ENSMUSG00000032640;ENSMUSG00000016757;ENSMUSG00000029822;ENSMUSG00000036452;ENSMUSG00000041762;ENSMUSG00000033629;ENSMUSG00000037759;ENSMUSG00000005087;ENSMUSG00000042363;ENSMUSG00000049313;ENSMUSG00000026014;ENSMUSG00000032420;ENSMUSG00000040111;ENSMUSG00000039470;ENSMUSG00000026223;ENSMUSG00000030189;ENSMUSG00000062373;ENSMUSG00000018537;ENSMUSG00000009739;ENSMUSG00000051998;ENSMUSG00000052751;ENSMUSG00000031129;ENSMUSG00000035681;ENSMUSG00000039197;ENSMUSG00000046410;ENSMUSG00000023048;ENSMUSG00000011382;ENSMUSG00000039232;ENSMUSG00000068566;ENSMUSG00000026068;ENSMUSG00000001444;ENSMUSG00000066456;ENSMUSG00000034708;ENSMUSG00000039981;ENSMUSG00000001020;ENSMUSG00000033470;ENSMUSG00000022686"
"GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_DN",2.09046836944342e-12,1.45496598513262e-09,0.898671232061694,-0.705240576029083,-2.36866165753232,186,"ENSMUSG00000027718;ENSMUSG00000069094;ENSMUSG00000074607;ENSMUSG00000020644;ENSMUSG00000000782;ENSMUSG00000059146;ENSMUSG00000035133;ENSMUSG00000027843;ENSMUSG00000041439;ENSMUSG00000024789;ENSMUSG00000025888;ENSMUSG00000031342;ENSMUSG00000024642;ENSMUSG00000037868;ENSMUSG00000022508;ENSMUSG00000026285;ENSMUSG00000036356;ENSMUSG00000019920;ENSMUSG00000027720;ENSMUSG00000027901;ENSMUSG00000005824;ENSMUSG00000022015;ENSMUSG00000026155;ENSMUSG00000046532;ENSMUSG00000024424;ENSMUSG00000068129;ENSMUSG00000034177;ENSMUSG00000052013;ENSMUSG00000043671;ENSMUSG00000022280;ENSMUSG00000060147;ENSMUSG00000039943;ENSMUSG00000075415;ENSMUSG00000027030;ENSMUSG00000014547;ENSMUSG00000030208;ENSMUSG00000021728;ENSMUSG00000060261;ENSMUSG00000020577;ENSMUSG00000038582;ENSMUSG00000057191;ENSMUSG00000001794;ENSMUSG00000031367;ENSMUSG00000034543;ENSMUSG00000033610;ENSMUSG00000018334;ENSMUSG00000040322;ENSMUSG00000039145;ENSMUSG00000030231;ENSMUSG00000022667;ENSMUSG00000015981;ENSMUSG00000056536;ENSMUSG00000071379;ENSMUSG00000038658;ENSMUSG00000032053;ENSMUSG00000058173;ENSMUSG00000032440;ENSMUSG00000058317;ENSMUSG00000079057;ENSMUSG00000028420;ENSMUSG00000022686;ENSMUSG00000021556;ENSMUSG00000035311;ENSMUSG00000078771;ENSMUSG00000018209;ENSMUSG00000043411;ENSMUSG00000031659;ENSMUSG00000020042;ENSMUSG00000102037;ENSMUSG00000020642"
"GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_UP",1.74270000652056e-11,1.06130430397102e-08,0.863415391606693,-0.703635700812409,-2.35658660162079,185,"ENSMUSG00000027718;ENSMUSG00000036169;ENSMUSG00000043733;ENSMUSG00000027907;ENSMUSG00000028364;ENSMUSG00000024277;ENSMUSG00000000869;ENSMUSG00000038024;ENSMUSG00000033016;ENSMUSG00000024789;ENSMUSG00000030854;ENSMUSG00000047880;ENSMUSG00000030577;ENSMUSG00000024812;ENSMUSG00000038070;ENSMUSG00000004105;ENSMUSG00000028073;ENSMUSG00000034957;ENSMUSG00000048307;ENSMUSG00000022508;ENSMUSG00000026077;ENSMUSG00000039046;ENSMUSG00000033147;ENSMUSG00000038936;ENSMUSG00000046546;ENSMUSG00000005824;ENSMUSG00000022015;ENSMUSG00000016534;ENSMUSG00000015745;ENSMUSG00000056999;ENSMUSG00000037759;ENSMUSG00000022280;ENSMUSG00000027030;ENSMUSG00000019923;ENSMUSG00000019986;ENSMUSG00000003948;ENSMUSG00000022841;ENSMUSG00000005413;ENSMUSG00000022602;ENSMUSG00000038987;ENSMUSG00000025597;ENSMUSG00000035105;ENSMUSG00000020111;ENSMUSG00000031901;ENSMUSG00000043050;ENSMUSG00000021939;ENSMUSG00000039021;ENSMUSG00000030393;ENSMUSG00000021703;ENSMUSG00000039232;ENSMUSG00000032053;ENSMUSG00000058173;ENSMUSG00000016831;ENSMUSG00000017639;ENSMUSG00000034271;ENSMUSG00000030124;ENSMUSG00000037349;ENSMUSG00000019852;ENSMUSG00000013997;ENSMUSG00000009076;ENSMUSG00000020483;ENSMUSG00000063568;ENSMUSG00000020386;ENSMUSG00000030060;ENSMUSG00000037458;ENSMUSG00000024187;ENSMUSG00000025525;ENSMUSG00000052609;ENSMUSG00000023030;ENSMUSG00000034278;ENSMUSG00000028795;ENSMUSG00000053746;ENSMUSG00000089862;ENSMUSG00000019810;ENSMUSG00000020818"
"GSE37605_NOD_VS_C57BL6_IRES_GFP_TREG_UP",4.32051524896436e-11,2.33883892143937e-08,0.851339057116899,-0.748720191170906,-2.39145384960237,121,"ENSMUSG00000025809;ENSMUSG00000025810;ENSMUSG00000036169;ENSMUSG00000027009;ENSMUSG00000020279;ENSMUSG00000030103;ENSMUSG00000023903;ENSMUSG00000058297;ENSMUSG00000030536;ENSMUSG00000047344;ENSMUSG00000021065;ENSMUSG00000047507;ENSMUSG00000028073;ENSMUSG00000055116;ENSMUSG00000024521;ENSMUSG00000075592;ENSMUSG00000000142;ENSMUSG00000029338;ENSMUSG00000043671;ENSMUSG00000053702;ENSMUSG00000041762;ENSMUSG00000031902;ENSMUSG00000000957;ENSMUSG00000026483;ENSMUSG00000018334;ENSMUSG00000033446;ENSMUSG00000030231;ENSMUSG00000037129;ENSMUSG00000034796;ENSMUSG00000023048;ENSMUSG00000039232;ENSMUSG00000029823;ENSMUSG00000038418;ENSMUSG00000070462;ENSMUSG00000029617;ENSMUSG00000034708;ENSMUSG00000029781;ENSMUSG00000023367;ENSMUSG00000030688;ENSMUSG00000094248;ENSMUSG00000036087;ENSMUSG00000035936;ENSMUSG00000075376;ENSMUSG00000030657;ENSMUSG00000040899;ENSMUSG00000041235;ENSMUSG00000002489;ENSMUSG00000024659"
"GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_24H_INCUBATION_DN",5.70664854272125e-11,2.78027917001379e-08,0.851339057116899,-0.703675454643667,-2.3453578987407,176,"ENSMUSG00000027718;ENSMUSG00000025810;ENSMUSG00000074607;ENSMUSG00000033538;ENSMUSG00000015314;ENSMUSG00000015968;ENSMUSG00000022377;ENSMUSG00000025997;ENSMUSG00000025888;ENSMUSG00000025151;ENSMUSG00000004612;ENSMUSG00000072437;ENSMUSG00000030447;ENSMUSG00000013275;ENSMUSG00000031342;ENSMUSG00000047507;ENSMUSG00000020656;ENSMUSG00000033147;ENSMUSG00000037419;ENSMUSG00000022015;ENSMUSG00000059883;ENSMUSG00000074785;ENSMUSG00000034266;ENSMUSG00000031028;ENSMUSG00000036452;ENSMUSG00000022280;ENSMUSG00000029759;ENSMUSG00000063873;ENSMUSG00000029923;ENSMUSG00000015619;ENSMUSG00000027030;ENSMUSG00000022876;ENSMUSG00000026014;ENSMUSG00000040111;ENSMUSG00000045414;ENSMUSG00000039217;ENSMUSG00000038518;ENSMUSG00000017843;ENSMUSG00000026483;ENSMUSG00000018334;ENSMUSG00000015396;ENSMUSG00000030189;ENSMUSG00000008999;ENSMUSG00000026767;ENSMUSG00000031901;ENSMUSG00000033545;ENSMUSG00000024065;ENSMUSG00000035681;ENSMUSG00000022372;ENSMUSG00000038679;ENSMUSG00000039232;ENSMUSG00000045064;ENSMUSG00000034903;ENSMUSG00000048277;ENSMUSG00000017314;ENSMUSG00000066456;ENSMUSG00000046572;ENSMUSG00000029649;ENSMUSG00000015312;ENSMUSG00000039981;ENSMUSG00000001020;ENSMUSG00000034612;ENSMUSG00000058298;ENSMUSG00000028420;ENSMUSG00000041729;ENSMUSG00000028793;ENSMUSG00000042677;ENSMUSG00000020042;ENSMUSG00000030060;ENSMUSG00000032803;ENSMUSG00000030225;ENSMUSG00000031176;ENSMUSG00000040584;ENSMUSG00000049687;ENSMUSG00000013846"
