"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","16/111","123/5361",0.130081300813008,6.28257525818502,8.61746908688014,2.88671265284793e-09,6.81264186072112e-07,6.16844914240137e-07,"16184/16190/16197/15945/21949/15979/16992/60505/16199/17329/12772/21812/16189/12769/20304/107527",16
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","11/111","95/5361",0.115789473684211,5.5923186344239,6.56625313880888,3.31136666889307e-06,0.000390741266929382,0.000353793386202785,"16184/16190/19247/16197/15979/60505/16452/16199/12043/16189/216233",11
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","7/111","45/5361",0.155555555555556,7.51291291291291,6.37900987347833,3.1990229787534e-05,0.00251656474328601,0.00227860233223488,"16184/15945/16992/17329/12772/12769/20304",7
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","7/111","53/5361",0.132075471698113,6.37888832228455,5.72175473512937,9.48081040377672e-05,0.0049295830980927,0.00446344945991444,"16184/16190/16401/16197/16199/16403/16189",7
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","9/111","92/5361",0.0978260869565217,4.72473560517039,5.23949580954104,0.000104440319874845,0.0049295830980927,0.00446344945991444,"16184/16190/18018/20371/15979/60505/16452/21812/16189",9
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","6/111","47/5361",0.127659574468085,6.16561242093157,5.1715913948142,0.000370157642393416,0.012479600514978,0.0112995490835885,"16190/18018/20371/15979/60505/16189",6
"Human Diseases","Cardiovascular disease","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","6/111","47/5361",0.127659574468085,6.16561242093157,5.1715913948142,0.000370157642393416,0.012479600514978,0.0112995490835885,"16412/16401/20191/12289/16403/21414",6
"Human Diseases","Cancer: overview","mmu05200","Pathways in cancer","17/111","345/5361",0.0492753623188406,2.37986682334508,3.85240722803494,0.000646946750437905,0.0190849291379182,0.0172802882024862,"16184/16190/16412/11512/16197/15979/319757/16452/69635/12125/12043/16403/21812/21414/16189/14860/14873",17
"Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy","6/111","54/5361",0.111111111111111,5.36636636636637,4.68874637776857,0.00079166824575751,0.0197243104170242,0.0178592105916856,"16412/16401/20191/11512/12289/16403",6
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","12/111","201/5361",0.0597014925373134,2.883420734167,3.95717045231645,0.000835775865128143,0.0197243104170242,0.0178592105916856,"16184/16190/78284/16412/16401/16197/16452/12125/12043/16403/21923/16189",12
