"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_UP",1.05478433593807e-27,3.41037546266726e-24,1.36517960216169,-0.809411758731396,-2.50971068551999,184,"ENSMUSG00000000782;ENSMUSG00000060131;ENSMUSG00000050052;ENSMUSG00000021728;ENSMUSG00000059146;ENSMUSG00000026989;ENSMUSG00000026765;ENSMUSG00000027718;ENSMUSG00000030165;ENSMUSG00000021678;ENSMUSG00000033316;ENSMUSG00000026617;ENSMUSG00000027901;ENSMUSG00000034614;ENSMUSG00000001248;ENSMUSG00000020388;ENSMUSG00000032776;ENSMUSG00000029287;ENSMUSG00000044770;ENSMUSG00000049866;ENSMUSG00000015143;ENSMUSG00000024065;ENSMUSG00000030671;ENSMUSG00000022892;ENSMUSG00000044037;ENSMUSG00000041773;ENSMUSG00000019970;ENSMUSG00000034586;ENSMUSG00000074207;ENSMUSG00000070407;ENSMUSG00000049555;ENSMUSG00000048027;ENSMUSG00000008734;ENSMUSG00000045775;ENSMUSG00000046807;ENSMUSG00000070942;ENSMUSG00000060586;ENSMUSG00000029213;ENSMUSG00000050592;ENSMUSG00000027985;ENSMUSG00000021696;ENSMUSG00000022272;ENSMUSG00000017756;ENSMUSG00000020644;ENSMUSG00000035919;ENSMUSG00000022106;ENSMUSG00000060261;ENSMUSG00000049109;ENSMUSG00000024140;ENSMUSG00000019189;ENSMUSG00000025014;ENSMUSG00000042759;ENSMUSG00000020846;ENSMUSG00000024538;ENSMUSG00000032053;ENSMUSG00000043587;ENSMUSG00000067220;ENSMUSG00000023927;ENSMUSG00000054932;ENSMUSG00000000686;ENSMUSG00000000817;ENSMUSG00000032440;ENSMUSG00000039384;ENSMUSG00000026827;ENSMUSG00000006705;ENSMUSG00000017002;ENSMUSG00000034892;ENSMUSG00000020868;ENSMUSG00000030876;ENSMUSG00000022018;ENSMUSG00000063172;ENSMUSG00000070348;ENSMUSG00000001700;ENSMUSG00000027854;ENSMUSG00000039157;ENSMUSG00000000530;ENSMUSG00000054934;ENSMUSG00000027339;ENSMUSG00000000532;ENSMUSG00000019726;ENSMUSG00000028069;ENSMUSG00000020395;ENSMUSG00000037202;ENSMUSG00000070385;ENSMUSG00000051212;ENSMUSG00000070691;ENSMUSG00000056121;ENSMUSG00000036594;ENSMUSG00000032021;ENSMUSG00000037824;ENSMUSG00000027397;ENSMUSG00000031258;ENSMUSG00000033373;ENSMUSG00000037944"
"GSE7852_TREG_VS_TCONV_LN_DN",1.39998992720331e-27,3.41037546266726e-24,1.36517960216169,-0.812477259161313,-2.50183269478112,176,"ENSMUSG00000000782;ENSMUSG00000060131;ENSMUSG00000050052;ENSMUSG00000021728;ENSMUSG00000059146;ENSMUSG00000026989;ENSMUSG00000029130;ENSMUSG00000026765;ENSMUSG00000030165;ENSMUSG00000027901;ENSMUSG00000034614;ENSMUSG00000020388;ENSMUSG00000032776;ENSMUSG00000028064;ENSMUSG00000029287;ENSMUSG00000044770;ENSMUSG00000015143;ENSMUSG00000024065;ENSMUSG00000030671;ENSMUSG00000022892;ENSMUSG00000020901;ENSMUSG00000040703;ENSMUSG00000027883;ENSMUSG00000044037;ENSMUSG00000041773;ENSMUSG00000019970;ENSMUSG00000002769;ENSMUSG00000074207;ENSMUSG00000070407;ENSMUSG00000049555;ENSMUSG00000047344;ENSMUSG00000045777;ENSMUSG00000048027;ENSMUSG00000045775;ENSMUSG00000046807;ENSMUSG00000018654;ENSMUSG00000070942;ENSMUSG00000050592;ENSMUSG00000028528;ENSMUSG00000033416;ENSMUSG00000042870;ENSMUSG00000038578;ENSMUSG00000027035;ENSMUSG00000021696;ENSMUSG00000022272;ENSMUSG00000017756;ENSMUSG00000027720;ENSMUSG00000060261;ENSMUSG00000049109;ENSMUSG00000024140;ENSMUSG00000032946;ENSMUSG00000041180;ENSMUSG00000025014;ENSMUSG00000020846;ENSMUSG00000049550;ENSMUSG00000024538;ENSMUSG00000015839;ENSMUSG00000021236;ENSMUSG00000013846;ENSMUSG00000067220;ENSMUSG00000023927;ENSMUSG00000033581;ENSMUSG00000054932;ENSMUSG00000006345;ENSMUSG00000000686;ENSMUSG00000039384;ENSMUSG00000030465;ENSMUSG00000064284;ENSMUSG00000039168;ENSMUSG00000041235;ENSMUSG00000030876;ENSMUSG00000002897;ENSMUSG00000022018;ENSMUSG00000032528;ENSMUSG00000033949;ENSMUSG00000031166;ENSMUSG00000032561;ENSMUSG00000051890;ENSMUSG00000001700;ENSMUSG00000039157;ENSMUSG00000034164;ENSMUSG00000051007;ENSMUSG00000019726;ENSMUSG00000039089;ENSMUSG00000043065;ENSMUSG00000021224;ENSMUSG00000020395;ENSMUSG00000070385;ENSMUSG00000041439"
"GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_IMMATURE_NEURON_CELL_LINE_UP",5.25356698277408e-25,8.53179278002511e-22,1.29512308741004,-0.788114652808731,-2.46283066296369,193,"ENSMUSG00000000782;ENSMUSG00000060131;ENSMUSG00000050052;ENSMUSG00000048521;ENSMUSG00000039497;ENSMUSG00000059146;ENSMUSG00000026989;ENSMUSG00000006344;ENSMUSG00000029130;ENSMUSG00000026765;ENSMUSG00000027718;ENSMUSG00000030165;ENSMUSG00000026617;ENSMUSG00000034614;ENSMUSG00000055541;ENSMUSG00000020388;ENSMUSG00000028064;ENSMUSG00000029287;ENSMUSG00000049866;ENSMUSG00000015143;ENSMUSG00000024065;ENSMUSG00000020901;ENSMUSG00000040703;ENSMUSG00000041773;ENSMUSG00000063430;ENSMUSG00000034586;ENSMUSG00000074207;ENSMUSG00000030283;ENSMUSG00000070407;ENSMUSG00000048027;ENSMUSG00000026737;ENSMUSG00000045775;ENSMUSG00000046807;ENSMUSG00000018654;ENSMUSG00000070942;ENSMUSG00000029213;ENSMUSG00000027985;ENSMUSG00000024177;ENSMUSG00000027035;ENSMUSG00000000869;ENSMUSG00000021696;ENSMUSG00000022272;ENSMUSG00000042385;ENSMUSG00000047547;ENSMUSG00000032527;ENSMUSG00000049109;ENSMUSG00000022856;ENSMUSG00000024140;ENSMUSG00000020846;ENSMUSG00000049550;ENSMUSG00000032053;ENSMUSG00000043587;ENSMUSG00000067220;ENSMUSG00000060470;ENSMUSG00000006345;ENSMUSG00000031578;ENSMUSG00000020520;ENSMUSG00000032437;ENSMUSG00000032440;ENSMUSG00000017639;ENSMUSG00000026827;ENSMUSG00000026932;ENSMUSG00000038388;ENSMUSG00000030876;ENSMUSG00000022018;ENSMUSG00000032528;ENSMUSG00000013622;ENSMUSG00000032561;ENSMUSG00000041040;ENSMUSG00000051890;ENSMUSG00000041650;ENSMUSG00000046532;ENSMUSG00000071379;ENSMUSG00000054934;ENSMUSG00000037300;ENSMUSG00000000532;ENSMUSG00000020393;ENSMUSG00000041439;ENSMUSG00000070691;ENSMUSG00000044991;ENSMUSG00000034121;ENSMUSG00000026576;ENSMUSG00000061979;ENSMUSG00000043067"
"GSE7460_TCONV_VS_TREG_LN_UP",1.03249584007192e-24,1.25757993320759e-21,1.28710367230144,-0.799581126232618,-2.45135652090166,173,"ENSMUSG00000060131;ENSMUSG00000050052;ENSMUSG00000021728;ENSMUSG00000039497;ENSMUSG00000026989;ENSMUSG00000029130;ENSMUSG00000026765;ENSMUSG00000027718;ENSMUSG00000030165;ENSMUSG00000027901;ENSMUSG00000034614;ENSMUSG00000055541;ENSMUSG00000001248;ENSMUSG00000020388;ENSMUSG00000032776;ENSMUSG00000028064;ENSMUSG00000029287;ENSMUSG00000044770;ENSMUSG00000024065;ENSMUSG00000030671;ENSMUSG00000022892;ENSMUSG00000020901;ENSMUSG00000040703;ENSMUSG00000044037;ENSMUSG00000041773;ENSMUSG00000006494;ENSMUSG00000074207;ENSMUSG00000070407;ENSMUSG00000049555;ENSMUSG00000047344;ENSMUSG00000045777;ENSMUSG00000048027;ENSMUSG00000045775;ENSMUSG00000046807;ENSMUSG00000018654;ENSMUSG00000070942;ENSMUSG00000050592;ENSMUSG00000033416;ENSMUSG00000027035;ENSMUSG00000021696;ENSMUSG00000022272;ENSMUSG00000017756;ENSMUSG00000027720;ENSMUSG00000060261;ENSMUSG00000049109;ENSMUSG00000024140;ENSMUSG00000032946;ENSMUSG00000025014;ENSMUSG00000020846;ENSMUSG00000049550;ENSMUSG00000024538;ENSMUSG00000015839;ENSMUSG00000040990;ENSMUSG00000013846;ENSMUSG00000067220;ENSMUSG00000023927;ENSMUSG00000054932;ENSMUSG00000055760;ENSMUSG00000000686;ENSMUSG00000039384;ENSMUSG00000026827;ENSMUSG00000030465;ENSMUSG00000039168;ENSMUSG00000044177;ENSMUSG00000022217;ENSMUSG00000030876;ENSMUSG00000002897;ENSMUSG00000022018;ENSMUSG00000015337;ENSMUSG00000032528;ENSMUSG00000031166;ENSMUSG00000032561;ENSMUSG00000051890;ENSMUSG00000000530;ENSMUSG00000046532;ENSMUSG00000051007;ENSMUSG00000053985;ENSMUSG00000019726;ENSMUSG00000039089;ENSMUSG00000043065;ENSMUSG00000020393;ENSMUSG00000020395;ENSMUSG00000042797;ENSMUSG00000070385;ENSMUSG00000031453;ENSMUSG00000041439;ENSMUSG00000044991;ENSMUSG00000026576;ENSMUSG00000007950;ENSMUSG00000050930;ENSMUSG00000037348;ENSMUSG00000031258;ENSMUSG00000047517;ENSMUSG00000033373;ENSMUSG00000027605;ENSMUSG00000028759;ENSMUSG00000026547;ENSMUSG00000026727;ENSMUSG00000036944;ENSMUSG00000047067"
"GSE7852_TREG_VS_TCONV_DN",6.62317623609772e-24,6.45362292445361e-21,1.26273988547916,-0.786526390156178,-2.45147169076831,189,"ENSMUSG00000060131;ENSMUSG00000050052;ENSMUSG00000021728;ENSMUSG00000039497;ENSMUSG00000059146;ENSMUSG00000015745;ENSMUSG00000029130;ENSMUSG00000026765;ENSMUSG00000027718;ENSMUSG00000030165;ENSMUSG00000073910;ENSMUSG00000055541;ENSMUSG00000020388;ENSMUSG00000032776;ENSMUSG00000028064;ENSMUSG00000029287;ENSMUSG00000044770;ENSMUSG00000049866;ENSMUSG00000024065;ENSMUSG00000030671;ENSMUSG00000020901;ENSMUSG00000044037;ENSMUSG00000041773;ENSMUSG00000019970;ENSMUSG00000074207;ENSMUSG00000070407;ENSMUSG00000047344;ENSMUSG00000045777;ENSMUSG00000046807;ENSMUSG00000018654;ENSMUSG00000070942;ENSMUSG00000028381;ENSMUSG00000028528;ENSMUSG00000033416;ENSMUSG00000021696;ENSMUSG00000017756;ENSMUSG00000036661;ENSMUSG00000022106;ENSMUSG00000025597;ENSMUSG00000060261;ENSMUSG00000032527;ENSMUSG00000049109;ENSMUSG00000078771;ENSMUSG00000020846;ENSMUSG00000049550;ENSMUSG00000015839;ENSMUSG00000021236;ENSMUSG00000043587;ENSMUSG00000067220;ENSMUSG00000022747;ENSMUSG00000006345;ENSMUSG00000020520;ENSMUSG00000023274;ENSMUSG00000000686;ENSMUSG00000032440;ENSMUSG00000006705;ENSMUSG00000036169;ENSMUSG00000064284;ENSMUSG00000039168;ENSMUSG00000041235;ENSMUSG00000030876;ENSMUSG00000008730;ENSMUSG00000002897;ENSMUSG00000030742;ENSMUSG00000024642;ENSMUSG00000030720;ENSMUSG00000032528;ENSMUSG00000040557;ENSMUSG00000036840;ENSMUSG00000034786;ENSMUSG00000001700;ENSMUSG00000039157;ENSMUSG00000071379"
"GSE7852_TREG_VS_TCONV_LN_UP",2.81750030703948e-23,2.28781024931606e-20,1.24623277191648,0.881036571793528,2.6985721697533,196,"ENSMUSG00000039521;ENSMUSG00000026770;ENSMUSG00000025810;ENSMUSG00000028268;ENSMUSG00000029075;ENSMUSG00000026358;ENSMUSG00000032420;ENSMUSG00000026483;ENSMUSG00000069833;ENSMUSG00000054469;ENSMUSG00000001576;ENSMUSG00000005947;ENSMUSG00000049103;ENSMUSG00000015396;ENSMUSG00000020027;ENSMUSG00000052117;ENSMUSG00000017707;ENSMUSG00000059325;ENSMUSG00000031246;ENSMUSG00000031428;ENSMUSG00000037894;ENSMUSG00000034853;ENSMUSG00000024235;ENSMUSG00000046169;ENSMUSG00000028337;ENSMUSG00000030029;ENSMUSG00000029822;ENSMUSG00000027778;ENSMUSG00000043252;ENSMUSG00000003153;ENSMUSG00000018900;ENSMUSG00000048120;ENSMUSG00000032578;ENSMUSG00000028599;ENSMUSG00000049687;ENSMUSG00000039899;ENSMUSG00000035356;ENSMUSG00000035239;ENSMUSG00000027784;ENSMUSG00000019817;ENSMUSG00000028173;ENSMUSG00000045573;ENSMUSG00000031015;ENSMUSG00000034573;ENSMUSG00000020275;ENSMUSG00000029772;ENSMUSG00000024098;ENSMUSG00000020021;ENSMUSG00000026478;ENSMUSG00000042105;ENSMUSG00000038332;ENSMUSG00000041954;ENSMUSG00000040274;ENSMUSG00000068129;ENSMUSG00000031530;ENSMUSG00000037706;ENSMUSG00000021356;ENSMUSG00000054871;ENSMUSG00000028521;ENSMUSG00000045103;ENSMUSG00000022876;ENSMUSG00000003847;ENSMUSG00000043924;ENSMUSG00000021375;ENSMUSG00000028937;ENSMUSG00000040899;ENSMUSG00000039943;ENSMUSG00000056498;ENSMUSG00000020128;ENSMUSG00000024095;ENSMUSG00000010609;ENSMUSG00000031402;ENSMUSG00000034317;ENSMUSG00000046269;ENSMUSG00000001419;ENSMUSG00000022324;ENSMUSG00000015316;ENSMUSG00000003206;ENSMUSG00000027087;ENSMUSG00000035901;ENSMUSG00000033855;ENSMUSG00000020019;ENSMUSG00000026223;ENSMUSG00000019256;ENSMUSG00000060147;ENSMUSG00000030134;ENSMUSG00000035891;ENSMUSG00000039853;ENSMUSG00000026600;ENSMUSG00000006301"
"GSE37301_CD4_TCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP",3.57386759891756e-22,2.48741184884662e-19,1.22105375677186,-0.825346052198432,-2.47987360209019,139,"ENSMUSG00000000782;ENSMUSG00000060131;ENSMUSG00000039497;ENSMUSG00000026989;ENSMUSG00000006344;ENSMUSG00000029130;ENSMUSG00000026765;ENSMUSG00000030165;ENSMUSG00000061143;ENSMUSG00000017493;ENSMUSG00000055541;ENSMUSG00000072437;ENSMUSG00000032776;ENSMUSG00000020642;ENSMUSG00000028064;ENSMUSG00000029287;ENSMUSG00000044770;ENSMUSG00000024065;ENSMUSG00000030671;ENSMUSG00000022892;ENSMUSG00000020901;ENSMUSG00000044037;ENSMUSG00000006494;ENSMUSG00000019970;ENSMUSG00000074207;ENSMUSG00000030283;ENSMUSG00000070407;ENSMUSG00000049555;ENSMUSG00000045775;ENSMUSG00000018654;ENSMUSG00000029213;ENSMUSG00000031132;ENSMUSG00000050592;ENSMUSG00000028528;ENSMUSG00000027985;ENSMUSG00000021696;ENSMUSG00000022272;ENSMUSG00000017756;ENSMUSG00000036661;ENSMUSG00000039621;ENSMUSG00000035919;ENSMUSG00000044442;ENSMUSG00000060261;ENSMUSG00000049109;ENSMUSG00000032946;ENSMUSG00000020846;ENSMUSG00000049550;ENSMUSG00000092060;ENSMUSG00000032690;ENSMUSG00000024538;ENSMUSG00000013846;ENSMUSG00000006345;ENSMUSG00000031925;ENSMUSG00000020520;ENSMUSG00000001552;ENSMUSG00000000686;ENSMUSG00000020868;ENSMUSG00000041235;ENSMUSG00000030876;ENSMUSG00000033554;ENSMUSG00000032528;ENSMUSG00000024084;ENSMUSG00000031166"
"GSE7460_TCONV_VS_TREG_LN_DN",1.83571293020642e-21,1.11794917449571e-18,1.19534448258848,0.877181138249745,2.68873212853514,193,"ENSMUSG00000039521;ENSMUSG00000026770;ENSMUSG00000025810;ENSMUSG00000068227;ENSMUSG00000026011;ENSMUSG00000028268;ENSMUSG00000026358;ENSMUSG00000032420;ENSMUSG00000026483;ENSMUSG00000069833;ENSMUSG00000054469;ENSMUSG00000001576;ENSMUSG00000005947;ENSMUSG00000015396;ENSMUSG00000020027;ENSMUSG00000052117;ENSMUSG00000017707;ENSMUSG00000007613;ENSMUSG00000059325;ENSMUSG00000031246;ENSMUSG00000031428;ENSMUSG00000037894;ENSMUSG00000024235;ENSMUSG00000046169;ENSMUSG00000028337;ENSMUSG00000030029;ENSMUSG00000029822;ENSMUSG00000032261;ENSMUSG00000027778;ENSMUSG00000043252;ENSMUSG00000003153;ENSMUSG00000018900;ENSMUSG00000048120;ENSMUSG00000032578;ENSMUSG00000028599;ENSMUSG00000049687;ENSMUSG00000039899;ENSMUSG00000035356;ENSMUSG00000027784;ENSMUSG00000028173;ENSMUSG00000029772;ENSMUSG00000024098;ENSMUSG00000042105;ENSMUSG00000038332;ENSMUSG00000041954;ENSMUSG00000040274;ENSMUSG00000018800;ENSMUSG00000031530;ENSMUSG00000020257;ENSMUSG00000028965;ENSMUSG00000037706;ENSMUSG00000021356;ENSMUSG00000054871;ENSMUSG00000056749;ENSMUSG00000028101;ENSMUSG00000028521;ENSMUSG00000045103;ENSMUSG00000047293;ENSMUSG00000022876;ENSMUSG00000043924;ENSMUSG00000021375;ENSMUSG00000040899;ENSMUSG00000039943;ENSMUSG00000020590;ENSMUSG00000032089;ENSMUSG00000009621;ENSMUSG00000021733;ENSMUSG00000020128;ENSMUSG00000024095;ENSMUSG00000010609;ENSMUSG00000074305;ENSMUSG00000053641;ENSMUSG00000034317;ENSMUSG00000024597;ENSMUSG00000036943;ENSMUSG00000046269;ENSMUSG00000029084;ENSMUSG00000039942;ENSMUSG00000022015;ENSMUSG00000022324;ENSMUSG00000035901;ENSMUSG00000033855;ENSMUSG00000026223;ENSMUSG00000019256;ENSMUSG00000039853;ENSMUSG00000026600;ENSMUSG00000046410;ENSMUSG00000056413;ENSMUSG00000034354;ENSMUSG00000041390;ENSMUSG00000037104;ENSMUSG00000048376;ENSMUSG00000058427;ENSMUSG00000028278"
"GSE17580_TREG_VS_TEFF_S_MANSONI_INF_UP",4.07090443114582e-20,2.08313427990637e-17,1.16017957183021,0.871302644558824,2.6707133931053,193,"ENSMUSG00000039521;ENSMUSG00000026770;ENSMUSG00000026011;ENSMUSG00000031932;ENSMUSG00000028268;ENSMUSG00000026358;ENSMUSG00000026483;ENSMUSG00000005947;ENSMUSG00000036109;ENSMUSG00000015396;ENSMUSG00000002578;ENSMUSG00000020027;ENSMUSG00000024402;ENSMUSG00000007613;ENSMUSG00000059325;ENSMUSG00000062995;ENSMUSG00000037820;ENSMUSG00000031428;ENSMUSG00000037894;ENSMUSG00000056737;ENSMUSG00000028337;ENSMUSG00000030029;ENSMUSG00000028108;ENSMUSG00000027778;ENSMUSG00000020599;ENSMUSG00000022636;ENSMUSG00000003153;ENSMUSG00000018900;ENSMUSG00000048120;ENSMUSG00000030654;ENSMUSG00000042659;ENSMUSG00000025780;ENSMUSG00000028173;ENSMUSG00000045573;ENSMUSG00000031015;ENSMUSG00000029772;ENSMUSG00000002565;ENSMUSG00000038151;ENSMUSG00000026478;ENSMUSG00000041954;ENSMUSG00000028965;ENSMUSG00000025314;ENSMUSG00000025068;ENSMUSG00000037706;ENSMUSG00000054871;ENSMUSG00000020743;ENSMUSG00000028521;ENSMUSG00000030268;ENSMUSG00000043924;ENSMUSG00000032436;ENSMUSG00000040899;ENSMUSG00000020849;ENSMUSG00000016498;ENSMUSG00000059495;ENSMUSG00000020128;ENSMUSG00000036112;ENSMUSG00000002365;ENSMUSG00000024486;ENSMUSG00000022324;ENSMUSG00000015316;ENSMUSG00000038070;ENSMUSG00000040592;ENSMUSG00000003206;ENSMUSG00000022969;ENSMUSG00000024867;ENSMUSG00000035901;ENSMUSG00000015437;ENSMUSG00000034266;ENSMUSG00000049804;ENSMUSG00000035891;ENSMUSG00000004446;ENSMUSG00000023830;ENSMUSG00000017146;ENSMUSG00000041390;ENSMUSG00000022661;ENSMUSG00000031490;ENSMUSG00000058427;ENSMUSG00000035547;ENSMUSG00000020877;ENSMUSG00000020397"
"GSE13522_WT_VS_IFNAR_KO_SKING_T_CRUZI_Y_STRAIN_INF_UP",4.27572717550569e-20,2.08313427990637e-17,1.16017957183021,0.871123789085477,2.67016516602131,193,"ENSMUSG00000039521;ENSMUSG00000026770;ENSMUSG00000068227;ENSMUSG00000026011;ENSMUSG00000025997;ENSMUSG00000028268;ENSMUSG00000029075;ENSMUSG00000026358;ENSMUSG00000026483;ENSMUSG00000069833;ENSMUSG00000026009;ENSMUSG00000005947;ENSMUSG00000029468;ENSMUSG00000002578;ENSMUSG00000002489;ENSMUSG00000020027;ENSMUSG00000052117;ENSMUSG00000024402;ENSMUSG00000059325;ENSMUSG00000027639;ENSMUSG00000037894;ENSMUSG00000056737;ENSMUSG00000028337;ENSMUSG00000030029;ENSMUSG00000029822;ENSMUSG00000027778;ENSMUSG00000047898;ENSMUSG00000018900;ENSMUSG00000037474;ENSMUSG00000035473;ENSMUSG00000016529;ENSMUSG00000042064;ENSMUSG00000032220;ENSMUSG00000032578;ENSMUSG00000049687;ENSMUSG00000055407;ENSMUSG00000035356;ENSMUSG00000025780;ENSMUSG00000039232;ENSMUSG00000079017;ENSMUSG00000021108;ENSMUSG00000028173;ENSMUSG00000045573;ENSMUSG00000006014;ENSMUSG00000020649;ENSMUSG00000020656;ENSMUSG00000031015;ENSMUSG00000028634;ENSMUSG00000029772;ENSMUSG00000032501;ENSMUSG00000041954;ENSMUSG00000031530;ENSMUSG00000028965;ENSMUSG00000025068;ENSMUSG00000037706;ENSMUSG00000021356;ENSMUSG00000029275;ENSMUSG00000054871;ENSMUSG00000056749;ENSMUSG00000011256;ENSMUSG00000047293;ENSMUSG00000032841;ENSMUSG00000018168;ENSMUSG00000040899;ENSMUSG00000027678;ENSMUSG00000030124;ENSMUSG00000030189;ENSMUSG00000016498;ENSMUSG00000032184;ENSMUSG00000037370;ENSMUSG00000020614;ENSMUSG00000032640;ENSMUSG00000030523;ENSMUSG00000032231;ENSMUSG00000018001;ENSMUSG00000032000;ENSMUSG00000028150;ENSMUSG00000015316;ENSMUSG00000040592;ENSMUSG00000053199;ENSMUSG00000035901;ENSMUSG00000039236;ENSMUSG00000020019;ENSMUSG00000013236;ENSMUSG00000028480"
