"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010721","negative regulation of cell development","46/1197","185/11987",0.248648648648649,2.49001783738626,6.80256994708755,3.37949237394269e-09,1.60728657304714e-05,1.43539491882724e-05,"Ctla4/Il4ra/Smad7/Ryk/Gpr68/Tjp2/Foxp3/Ppp3ca/Cebpa/Bmp7/Lgals1/Cd74/Sorl1/Tmem176a/Myc/Kifap3/Ifng/Atf5/Ascl2/Kdm1a/Il4/Bmyc/Gpr137/Tspo/F2/Fgl2/Tmem176b/Mafb/Hspa9/Rapgef2/Qki/Ntrk3/Slc4a2/Zfpm1/Id2/Plxna3/Notch1/Tmem131l/Ski/Trp53/Tert/Thy1/Tob2/Sema6d/Il2/Jak3",46
"GO:1903707","negative regulation of hemopoiesis","28/1197","89/11987",0.314606741573034,3.15053551481701,6.7823177050421,1.84162764628934e-08,4.37939054287605e-05,3.91103555409341e-05,"Ctla4/Il4ra/Smad7/Gpr68/Tjp2/Foxp3/Cebpa/Lgals1/Cd74/Tmem176a/Myc/Ifng/Ascl2/Il4/Bmyc/Gpr137/Fgl2/Tmem176b/Mafb/Hspa9/Qki/Slc4a2/Zfpm1/Id2/Tmem131l/Tob2/Il2/Jak3",28
"GO:0045596","negative regulation of cell differentiation","79/1197","434/11987",0.182027649769585,1.82286168570428,5.8156439332667,7.48850740582407e-08,0.000118717804073664,0.00010602149958772,"Ctla4/Il4ra/Smad7/Ryk/Gpr68/Sostdc1/Ptpn11/Mbnl3/Tjp2/Hopx/Foxp3/Ppp3ca/Cxcl10/Trpm4/Cebpa/Bmp7/Lgals1/Cd74/Sorl1/App/Tmem176a/Myc/Kifap3/Mmp11/Ifng/Eid2b/Atf5/Nfkbia/Tgfbr1/Fndc3b/Foxo3/Ascl2/Kdm1a/Il4/Bmyc/Tgfbr3/Gpr137/Tspo/Tnn/Notch4/F2/Fgl2/Rarg/Tmem176b/Insig1/Tmem64/Mafb/Mstn/Hspa9/Rbpj/Rapgef2/Qki/Hdac8/Ntrk3/Slc4a2/Lrp5/Zfpm1/Id2/Mixl1/Plxna3/Skil/Gdf11/Notch1/Tmem131l/Ski/Trp53/Tert/Sinhcaf/Ccnd1/Thy1/Ncor2/Tob2/Dmd/Sema6d/Ncoa3/Vasn/Il2/Lsm1/Jak3",79
"GO:1902106","negative regulation of leukocyte differentiation","26/1197","85/11987",0.305882352941176,3.06316772322964,6.35780955052032,1.11826680885291e-07,0.000132961923572611,0.000118742278255829,"Ctla4/Il4ra/Smad7/Gpr68/Tjp2/Foxp3/Lgals1/Cd74/Tmem176a/Myc/Ifng/Ascl2/Il4/Bmyc/Gpr137/Fgl2/Tmem176b/Mafb/Qki/Slc4a2/Zfpm1/Id2/Tmem131l/Tob2/Il2/Jak3",26
"GO:0002718","regulation of cytokine production involved in immune response","26/1197","97/11987",0.268041237113402,2.68421913891257,5.54711318684493,1.91356463845693e-06,0.00146895381012688,0.00131185618694656,"Casp4/Smad7/Casp1/Foxp3/Lacc1/Trpm4/Malt1/Il21/Cd74/Gprc5b/Hmox1/Ccr2/Tlr7/Panx1/Ifng/Tgfb3/F2rl1/Il4/Tnfrsf1b/Tnfrsf14/Nod2/Irak3/Bst2/Rabgef1/Xcl1/Jak3",26
"GO:1902105","regulation of leukocyte differentiation","52/1197","269/11987",0.193308550185874,1.93583090315628,5.17035383420885,2.12855442367323e-06,0.00146895381012688,0.00131185618694656,"Ctla4/Il2ra/Il4ra/Smad7/Gpr68/Lif/Tjp2/Foxp3/Ppp3ca/Malt1/Il21/Lgals1/Cd74/Tmem176a/Cd4/Ccr2/Myc/Adam8/Fancd2/Ep300/Ifng/Mmp14/Tcf7/Prxl2a/H2-Oa/Foxo3/Ascl2/Nfkbiz/Il4/Bmyc/Gpr137/Il4i1/Il4i1b/Rhoh/Hcls1/Fgl2/Tmem176b/Tmem64/Ctla2a/Mafb/Cd40lg/Qki/Slc4a2/Zfpm1/Id2/Prdm1/Tmem131l/Tob2/Egr3/Il2/Il1rl2/Jak3",52
"GO:1903706","regulation of hemopoiesis","60/1197","327/11987",0.18348623853211,1.83746828845815,5.11406756795409,2.16204303424898e-06,0.00146895381012688,0.00131185618694656,"Ctla4/Il2ra/Il4ra/Smad7/Gpr68/Lif/Tjp2/Foxp3/Ppp3ca/Malt1/Cebpa/Il21/Lgals1/Cd74/Tmem176a/Cd4/Ccr2/Myc/Gata1/Adam8/Fancd2/Ep300/Ifng/Nfkbia/Mmp14/Tcf7/Prxl2a/H2-Oa/Foxo3/Ascl2/Abcb10/Nfkbiz/Kdm1a/Il4/Bmyc/Gpr137/Il4i1/Il4i1b/Rhoh/Hcls1/Fgl2/Rarg/Tmem176b/Tmem64/Ctla2a/Mafb/Hspa9/Cd40lg/Qki/Slc4a2/Zfpm1/Id2/Prdm1/Tmem131l/Isg15/Tob2/Egr3/Il2/Il1rl2/Jak3",60
"GO:0002697","regulation of immune effector process","55/1197","300/11987",0.183333333333333,1.83593706488443,4.88378095411832,5.86049483056997e-06,0.00348406417677385,0.00311146008438814,"Il4ra/Tnfrsf4/Casp4/Smad7/Dnase1l3/Slamf6/Casp1/Pdcd1/Sh2d1a/Cd22/Klrd1/Foxp3/Lacc1/Klrb1f/Trpm4/Malt1/Lta/Il21/Lgals1/Cd74/Gprc5b/Hmox1/Ccr2/Tlr7/Gata1/H2-DMb2/Ep300/Panx1/Ifng/Klrb1a/Ascl2/Tgfb3/Nfkbiz/F2rl1/Il4/Tnfrsf1b/Tnfrsf14/Il4i1/Il4i1b/Lgals3/Nod2/Fgl2/Irak3/Cd40lg/H2-Q2/Bst2/Ighm/Rabgef1/Gfer/Aplf/Fbxo38/Ddx60/Il2/Xcl1/Jak3",55
"GO:0008285","negative regulation of cell population proliferation","77/1197","470/11987",0.163829787234043,1.64062461117332,4.71906929114677,7.52226022758212e-06,0.00357611879781595,0.00319366990155092,"Ctla4/Il2ra/Smad7/Slc16a2/Lif/Maged1/Vdr/Foxp3/Cebpa/Lrrc32/Lta/Jak2/Bmp7/App/Hmox1/E2f7/Myc/Efnb2/Kifap3/Gata1/Ang/Ifng/Atf5/Tgfbr1/Ift74/Ascl2/Comt/Tgfb3/Etv4/Vipr2/Il4/Bmyc/Tgfbr3/Tnfrsf14/Tnfrsf9/Tspo/Il4i1/Il4i1b/Lgals3/Ar/Serpinf1/Tnn/Inppl1/Ppp2r3d/Rarg/Cherp/Hras/Mstn/Spin4/Rbpj/Rapgef2/Rbm38/Sult2b1/Cnn1/Slc4a2/Acvr1c/Dnajb2/Gdf11/Trim32/Ift80/Nupr2/Notch1/Tmem131l/Ski/Cd9/Atraid/Trp53/Stk3/Tert/Cend1/Smad2/Ndrg2/Stk11/Il2/Cyp27b1/Bnipl/Xcl1",77
"GO:0019221","cytokine-mediated signaling pathway","57/1197","318/11987",0.179245283018868,1.79499850254567,4.78560159281794,8.1037068460686e-06,0.00357611879781595,0.00319366990155092,"Il2rb/Il2ra/Il4ra/Tnfrsf4/Casp4/Casp1/Oas1e/Txk/Tjp2/Cxcl10/Ifngr1/Cebpa/Jak2/Ifnar1/Il9r/Cd74/Naip5/Cd4/Tut4/Ccr2/Ifng/Nfkbia/Cxcr4/Cish/Foxo3/Epha1/Nfkbiz/F2rl1/Il4/Tnfrsf1b/Socs2/Ecm1/Ccl25/Hcls1/Ccr9/Samhd1/Spata2/Irak3/Ntrk3/Epg5/Xiap/Il21r/Trim32/Notch1/Cxcr6/Rabgef1/Trp53/Isg15/Rnf113a1/Oas3/Il2/Il23r/Il1rl2/Xcl1/Cactin/Slc1a1/Jak3",57
