"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GSE20366_TREG_VS_NAIVE_CD4_TCELL_UP",4.93027403780873e-26,2.40202951122042e-22,1.32671609800481,0.848920694379682,2.64933701985076,197,"ENSMUSG00000039521;ENSMUSG00000026950;ENSMUSG00000031932;ENSMUSG00000038332;ENSMUSG00000026581;ENSMUSG00000076617;ENSMUSG00000028108;ENSMUSG00000024014;ENSMUSG00000040253;ENSMUSG00000028268;ENSMUSG00000020027;ENSMUSG00000048285;ENSMUSG00000059336;ENSMUSG00000027639;ENSMUSG00000007613;ENSMUSG00000027778;ENSMUSG00000003153;ENSMUSG00000037652;ENSMUSG00000029075;ENSMUSG00000022346;ENSMUSG00000027111;ENSMUSG00000068227;ENSMUSG00000029204;ENSMUSG00000034349;ENSMUSG00000032436;ENSMUSG00000031015;ENSMUSG00000036093;ENSMUSG00000002578;ENSMUSG00000073102;ENSMUSG00000025780;ENSMUSG00000032578;ENSMUSG00000027678;ENSMUSG00000036391;ENSMUSG00000062078;ENSMUSG00000054469;ENSMUSG00000031562;ENSMUSG00000034108;ENSMUSG00000037795;ENSMUSG00000048120;ENSMUSG00000025068;ENSMUSG00000027784;ENSMUSG00000021870;ENSMUSG00000019916;ENSMUSG00000044827;ENSMUSG00000028173;ENSMUSG00000074305;ENSMUSG00000031402;ENSMUSG00000003746;ENSMUSG00000021969;ENSMUSG00000036109;ENSMUSG00000028965;ENSMUSG00000029672;ENSMUSG00000004446;ENSMUSG00000028522;ENSMUSG00000028339;ENSMUSG00000037400;ENSMUSG00000004558;ENSMUSG00000015733;ENSMUSG00000026970;ENSMUSG00000037331;ENSMUSG00000029814;ENSMUSG00000054871;ENSMUSG00000026069;ENSMUSG00000006800;ENSMUSG00000042548;ENSMUSG00000041538;ENSMUSG00000021466;ENSMUSG00000015966;ENSMUSG00000073096;ENSMUSG00000015889;ENSMUSG00000028278;ENSMUSG00000034342;ENSMUSG00000046999;ENSMUSG00000032265;ENSMUSG00000020744;ENSMUSG00000028521;ENSMUSG00000041954;ENSMUSG00000028633"
"GSE20366_TREG_VS_NAIVE_CD4_TCELL_DN",3.34829933615292e-17,8.15645718286851e-14,1.06720998682811,-0.78482753889213,-2.18732062244624,149,"ENSMUSG00000000782;ENSMUSG00000027901;ENSMUSG00000027718;ENSMUSG00000059146;ENSMUSG00000031609;ENSMUSG00000069094;ENSMUSG00000033316;ENSMUSG00000020642;ENSMUSG00000024065;ENSMUSG00000026765;ENSMUSG00000023243;ENSMUSG00000050052;ENSMUSG00000033538;ENSMUSG00000047344;ENSMUSG00000023274;ENSMUSG00000031132;ENSMUSG00000000869;ENSMUSG00000024944;ENSMUSG00000078771;ENSMUSG00000045777;ENSMUSG00000026989;ENSMUSG00000024538;ENSMUSG00000029287;ENSMUSG00000030671;ENSMUSG00000041773;ENSMUSG00000021253;ENSMUSG00000032776;ENSMUSG00000070942;ENSMUSG00000030208;ENSMUSG00000045775;ENSMUSG00000034586;ENSMUSG00000071379;ENSMUSG00000021983;ENSMUSG00000029213;ENSMUSG00000055170;ENSMUSG00000041439;ENSMUSG00000027720;ENSMUSG00000046949;ENSMUSG00000040848;ENSMUSG00000046532;ENSMUSG00000043733;ENSMUSG00000074207;ENSMUSG00000020901;ENSMUSG00000019960;ENSMUSG00000037306;ENSMUSG00000070407;ENSMUSG00000049313;ENSMUSG00000000817;ENSMUSG00000034825;ENSMUSG00000031367;ENSMUSG00000000686;ENSMUSG00000041308;ENSMUSG00000022280;ENSMUSG00000028528;ENSMUSG00000030876;ENSMUSG00000049109;ENSMUSG00000006345;ENSMUSG00000044328;ENSMUSG00000025888"
"GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_DN",9.0775260916841e-15,1.4741902372895e-11,0.986546283587582,-0.733631182258332,-2.07167416698864,186,"ENSMUSG00000000782;ENSMUSG00000027901;ENSMUSG00000027718;ENSMUSG00000050335;ENSMUSG00000059146;ENSMUSG00000069094;ENSMUSG00000020642;ENSMUSG00000021728;ENSMUSG00000026765;ENSMUSG00000050052;ENSMUSG00000024789;ENSMUSG00000078771;ENSMUSG00000039145;ENSMUSG00000024538;ENSMUSG00000029287;ENSMUSG00000030671;ENSMUSG00000027200;ENSMUSG00000041773;ENSMUSG00000020644;ENSMUSG00000058173;ENSMUSG00000030208;ENSMUSG00000031342;ENSMUSG00000074607;ENSMUSG00000028064;ENSMUSG00000033610;ENSMUSG00000038843;ENSMUSG00000032053;ENSMUSG00000085795;ENSMUSG00000071379;ENSMUSG00000060261;ENSMUSG00000041439;ENSMUSG00000027720;ENSMUSG00000046949;ENSMUSG00000041180;ENSMUSG00000046532;ENSMUSG00000001248;ENSMUSG00000036356;ENSMUSG00000029121;ENSMUSG00000026737;ENSMUSG00000025571;ENSMUSG00000026827;ENSMUSG00000027843;ENSMUSG00000031367;ENSMUSG00000000686;ENSMUSG00000022280;ENSMUSG00000014547;ENSMUSG00000026285;ENSMUSG00000022305;ENSMUSG00000006345;ENSMUSG00000030342;ENSMUSG00000020647;ENSMUSG00000056536;ENSMUSG00000025888;ENSMUSG00000020100;ENSMUSG00000052013;ENSMUSG00000023236;ENSMUSG00000024642;ENSMUSG00000034543;ENSMUSG00000058006;ENSMUSG00000070327;ENSMUSG00000040659;ENSMUSG00000001794"
"GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_UP",5.69459875443898e-14,6.93602128290667e-11,0.954541630725724,-0.723971962809526,-2.04308437972556,184,"ENSMUSG00000000782;ENSMUSG00000027901;ENSMUSG00000027718;ENSMUSG00000059146;ENSMUSG00000033316;ENSMUSG00000024065;ENSMUSG00000021728;ENSMUSG00000026765;ENSMUSG00000060131;ENSMUSG00000050052;ENSMUSG00000026617;ENSMUSG00000021678;ENSMUSG00000025279;ENSMUSG00000026989;ENSMUSG00000024538;ENSMUSG00000029287;ENSMUSG00000030671;ENSMUSG00000041773;ENSMUSG00000032776;ENSMUSG00000070942;ENSMUSG00000020644;ENSMUSG00000045775;ENSMUSG00000034586;ENSMUSG00000030165;ENSMUSG00000032053;ENSMUSG00000060261;ENSMUSG00000029213;ENSMUSG00000022892;ENSMUSG00000060586;ENSMUSG00000074207;ENSMUSG00000001248;ENSMUSG00000070407;ENSMUSG00000034614;ENSMUSG00000022106;ENSMUSG00000000817;ENSMUSG00000026827;ENSMUSG00000020388;ENSMUSG00000035919;ENSMUSG00000049555;ENSMUSG00000000686;ENSMUSG00000008734;ENSMUSG00000070348;ENSMUSG00000030876;ENSMUSG00000049109;ENSMUSG00000046805;ENSMUSG00000017756;ENSMUSG00000054932;ENSMUSG00000017002;ENSMUSG00000015143;ENSMUSG00000044770;ENSMUSG00000019189;ENSMUSG00000042759;ENSMUSG00000051212;ENSMUSG00000067220;ENSMUSG00000044037;ENSMUSG00000032021;ENSMUSG00000063172;ENSMUSG00000046807;ENSMUSG00000027397;ENSMUSG00000027339;ENSMUSG00000028266;ENSMUSG00000006705"
"GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP",6.28464151694711e-13,4.65013326252322e-10,0.921426003494898,0.799644925119794,2.49424859300191,182,"ENSMUSG00000039521;ENSMUSG00000026950;ENSMUSG00000026770;ENSMUSG00000030748;ENSMUSG00000031932;ENSMUSG00000038332;ENSMUSG00000026581;ENSMUSG00000076617;ENSMUSG00000043252;ENSMUSG00000040253;ENSMUSG00000028268;ENSMUSG00000020027;ENSMUSG00000027639;ENSMUSG00000007613;ENSMUSG00000027778;ENSMUSG00000003153;ENSMUSG00000005947;ENSMUSG00000029075;ENSMUSG00000027111;ENSMUSG00000068227;ENSMUSG00000061436;ENSMUSG00000037894;ENSMUSG00000036093;ENSMUSG00000002578;ENSMUSG00000025780;ENSMUSG00000027678;ENSMUSG00000036391;ENSMUSG00000059895;ENSMUSG00000071068;ENSMUSG00000054469;ENSMUSG00000034108;ENSMUSG00000037795;ENSMUSG00000039952;ENSMUSG00000048120;ENSMUSG00000019916;ENSMUSG00000003746;ENSMUSG00000091896;ENSMUSG00000027510;ENSMUSG00000026483;ENSMUSG00000028965;ENSMUSG00000028339;ENSMUSG00000055723;ENSMUSG00000025997;ENSMUSG00000037331;ENSMUSG00000026069;ENSMUSG00000015966;ENSMUSG00000028278;ENSMUSG00000022014;ENSMUSG00000068735;ENSMUSG00000032265;ENSMUSG00000028521;ENSMUSG00000041954;ENSMUSG00000019817;ENSMUSG00000029217"
"GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_IMMATURE_NEURON_CELL_LINE_UP",6.47550823581484e-13,4.65013326252322e-10,0.921426003494898,-0.710355127282997,-2.01473694077021,193,"ENSMUSG00000000782;ENSMUSG00000027718;ENSMUSG00000059146;ENSMUSG00000048521;ENSMUSG00000039497;ENSMUSG00000024065;ENSMUSG00000063430;ENSMUSG00000026765;ENSMUSG00000060131;ENSMUSG00000029130;ENSMUSG00000050052;ENSMUSG00000026617;ENSMUSG00000040703;ENSMUSG00000055541;ENSMUSG00000000869;ENSMUSG00000026989;ENSMUSG00000029287;ENSMUSG00000006344;ENSMUSG00000041773;ENSMUSG00000042385;ENSMUSG00000070942;ENSMUSG00000045775;ENSMUSG00000028064;ENSMUSG00000034586;ENSMUSG00000030165;ENSMUSG00000032053;ENSMUSG00000071379;ENSMUSG00000029213;ENSMUSG00000017639;ENSMUSG00000041439;ENSMUSG00000046532;ENSMUSG00000074207;ENSMUSG00000020901;ENSMUSG00000047547;ENSMUSG00000070407;ENSMUSG00000032561;ENSMUSG00000034614;ENSMUSG00000018733;ENSMUSG00000031578;ENSMUSG00000026737;ENSMUSG00000034121;ENSMUSG00000026827;ENSMUSG00000020388;ENSMUSG00000032527;ENSMUSG00000013622;ENSMUSG00000038388;ENSMUSG00000030876;ENSMUSG00000024177;ENSMUSG00000049109;ENSMUSG00000006345;ENSMUSG00000049550;ENSMUSG00000041040;ENSMUSG00000015143;ENSMUSG00000030283"
"GSE7852_TREG_VS_TCONV_LN_UP",6.68122595190118e-13,4.65013326252322e-10,0.921426003494898,0.784139172015065,2.46096486071688,196,"ENSMUSG00000039521;ENSMUSG00000026770;ENSMUSG00000038332;ENSMUSG00000029772;ENSMUSG00000043252;ENSMUSG00000049103;ENSMUSG00000028268;ENSMUSG00000017707;ENSMUSG00000039899;ENSMUSG00000020027;ENSMUSG00000048285;ENSMUSG00000027778;ENSMUSG00000035498;ENSMUSG00000028337;ENSMUSG00000003153;ENSMUSG00000005947;ENSMUSG00000026358;ENSMUSG00000018900;ENSMUSG00000029075;ENSMUSG00000031015;ENSMUSG00000046169;ENSMUSG00000028599;ENSMUSG00000037894;ENSMUSG00000032578;ENSMUSG00000035356;ENSMUSG00000045103;ENSMUSG00000000078;ENSMUSG00000054469;ENSMUSG00000001576;ENSMUSG00000030029;ENSMUSG00000059325;ENSMUSG00000024235;ENSMUSG00000048120;ENSMUSG00000027784;ENSMUSG00000028173;ENSMUSG00000031402;ENSMUSG00000026483;ENSMUSG00000031162;ENSMUSG00000069895;ENSMUSG00000035901;ENSMUSG00000020019;ENSMUSG00000042105;ENSMUSG00000054871;ENSMUSG00000035891;ENSMUSG00000026069;ENSMUSG00000001419;ENSMUSG00000028645;ENSMUSG00000022324;ENSMUSG00000028278;ENSMUSG00000028270;ENSMUSG00000028521;ENSMUSG00000041954;ENSMUSG00000019817;ENSMUSG00000052713;ENSMUSG00000037815;ENSMUSG00000026478;ENSMUSG00000020021;ENSMUSG00000032420;ENSMUSG00000020275;ENSMUSG00000001156;ENSMUSG00000015202;ENSMUSG00000049858;ENSMUSG00000030727;ENSMUSG00000031246;ENSMUSG00000034354;ENSMUSG00000006301;ENSMUSG00000030114"
"GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP",1.48902774329543e-12,8.9771557978263e-10,0.910119734774459,0.800903437126409,2.53099317571097,176,"ENSMUSG00000039521;ENSMUSG00000026950;ENSMUSG00000026770;ENSMUSG00000031932;ENSMUSG00000038332;ENSMUSG00000026581;ENSMUSG00000028268;ENSMUSG00000039899;ENSMUSG00000048285;ENSMUSG00000040229;ENSMUSG00000027778;ENSMUSG00000030616;ENSMUSG00000003153;ENSMUSG00000037652;ENSMUSG00000029075;ENSMUSG00000020257;ENSMUSG00000027111;ENSMUSG00000041483;ENSMUSG00000039087;ENSMUSG00000031015;ENSMUSG00000046169;ENSMUSG00000005973;ENSMUSG00000002578;ENSMUSG00000025780;ENSMUSG00000032578;ENSMUSG00000048546;ENSMUSG00000037940;ENSMUSG00000071068;ENSMUSG00000027784;ENSMUSG00000028999;ENSMUSG00000019916;ENSMUSG00000026483;ENSMUSG00000028965;ENSMUSG00000029672;ENSMUSG00000035901;ENSMUSG00000020019;ENSMUSG00000042105;ENSMUSG00000044197;ENSMUSG00000023830;ENSMUSG00000053641;ENSMUSG00000041538;ENSMUSG00000058427;ENSMUSG00000073096;ENSMUSG00000015889;ENSMUSG00000028278;ENSMUSG00000029776;ENSMUSG00000022965;ENSMUSG00000034342"
"GSE7852_TREG_VS_TCONV_DN",1.65834158826841e-12,8.9771557978263e-10,0.910119734774459,-0.708069884747603,-2.00450707543126,189,"ENSMUSG00000015745;ENSMUSG00000027718;ENSMUSG00000059146;ENSMUSG00000036169;ENSMUSG00000039497;ENSMUSG00000024065;ENSMUSG00000021728;ENSMUSG00000026765;ENSMUSG00000060131;ENSMUSG00000073910;ENSMUSG00000029130;ENSMUSG00000050052;ENSMUSG00000047344;ENSMUSG00000023274;ENSMUSG00000055541;ENSMUSG00000078771;ENSMUSG00000045777;ENSMUSG00000029287;ENSMUSG00000030671;ENSMUSG00000041773;ENSMUSG00000032776;ENSMUSG00000070942;ENSMUSG00000028064;ENSMUSG00000026012;ENSMUSG00000025597;ENSMUSG00000030165;ENSMUSG00000071379;ENSMUSG00000060261;ENSMUSG00000043733;ENSMUSG00000074207;ENSMUSG00000020901;ENSMUSG00000019960;ENSMUSG00000070407;ENSMUSG00000022106;ENSMUSG00000039168;ENSMUSG00000033416;ENSMUSG00000020388;ENSMUSG00000032527;ENSMUSG00000078429;ENSMUSG00000049577;ENSMUSG00000000686;ENSMUSG00000022280;ENSMUSG00000036661;ENSMUSG00000028528;ENSMUSG00000030876;ENSMUSG00000049109;ENSMUSG00000006345;ENSMUSG00000008730;ENSMUSG00000075420;ENSMUSG00000049550;ENSMUSG00000021236;ENSMUSG00000017756;ENSMUSG00000024642;ENSMUSG00000044770;ENSMUSG00000031129;ENSMUSG00000067220;ENSMUSG00000044037;ENSMUSG00000064284;ENSMUSG00000073678;ENSMUSG00000046807;ENSMUSG00000027397;ENSMUSG00000030742;ENSMUSG00000006705;ENSMUSG00000022747;ENSMUSG00000050022;ENSMUSG00000030720"
"GSE17580_TREG_VS_TEFF_S_MANSONI_INF_UP",3.39587130454815e-12,1.65446849957586e-09,0.898671232061694,0.779551771775033,2.44212323898968,193,"ENSMUSG00000039521;ENSMUSG00000026770;ENSMUSG00000031932;ENSMUSG00000028108;ENSMUSG00000029772;ENSMUSG00000028268;ENSMUSG00000020027;ENSMUSG00000026011;ENSMUSG00000007613;ENSMUSG00000027778;ENSMUSG00000028337;ENSMUSG00000003153;ENSMUSG00000005947;ENSMUSG00000026358;ENSMUSG00000018900;ENSMUSG00000024402;ENSMUSG00000032436;ENSMUSG00000030654;ENSMUSG00000031015;ENSMUSG00000037894;ENSMUSG00000002578;ENSMUSG00000025780;ENSMUSG00000038151;ENSMUSG00000044583;ENSMUSG00000027863;ENSMUSG00000037820;ENSMUSG00000030029;ENSMUSG00000059325;ENSMUSG00000048120;ENSMUSG00000025068;ENSMUSG00000028173;ENSMUSG00000033721;ENSMUSG00000036109;ENSMUSG00000026483;ENSMUSG00000028965;ENSMUSG00000004446;ENSMUSG00000028161;ENSMUSG00000031162;ENSMUSG00000035901;ENSMUSG00000054871;ENSMUSG00000049804;ENSMUSG00000020849;ENSMUSG00000035891;ENSMUSG00000024486;ENSMUSG00000023830;ENSMUSG00000022324;ENSMUSG00000058427"
