"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","39/545","123/5361",0.317073170731707,3.11895278585813,7.997025769403,2.647721108115e-11,8.60509360137375e-09,7.83168033031911e-09,"16185/16184/16190/22163/16878/225392/15945/21949/20297/15979/16992/60505/12162/15975/16199/12504/12772/15978/21812/12767/21809/16189/21938/230979/66102/21942/20300/12769/17700/21947/60504/269275/14561/80901/16183/209590/14103/107527/16963",39
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","25/545","95/5361",0.263157894736842,2.58860453887011,5.25502251602471,5.1884562646773e-06,0.000843124143010061,0.000767345373881221,"16185/16184/16190/16878/19247/15979/60505/16452/15975/16199/17869/328572/15978/12700/16189/216233/18712/20844/15461/60504/13645/12443/16183/209590/16453",25
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","16/545","47/5361",0.340425531914894,3.34866289283623,5.4399667733959,7.81371497707573e-06,0.000846485789183204,0.000770404880195887,"16190/17132/20371/15979/60505/15000/15978/15001/21809/16189/257632/14969/60504/17126/16183/209590",16
"Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation","20/545","74/5361",0.27027027027027,2.65856682370444,4.83260818879883,2.99704429713861e-05,0.00243509849142512,0.00221623538814723,"16185/16184/16190/17132/19055/15979/16452/12504/15000/15978/18035/15001/16189/19664/14969/270118/18128/433586/16183/16453",20
"Human Diseases","Cancer: overview","mmu05200","Pathways in cancer","58/545","345/5361",0.168115942028985,1.65370562425209,4.22231287919969,5.61493339876359e-05,0.00364970670919633,0.00332167638958436,"16185/16184/16190/11864/14368/11512/78798/15979/12606/16452/15975/69635/15368/15234/12125/17869/16403/112407/328572/15978/18035/21812/66447/14859/21414/12767/269608/21809/16189/16777/93735/18712/11835/18132/14061/17977/15461/56289/23805/14873/16973/100503710/11798/18128/13645/12122/14872/22059/12830/21752/12443/14065/17126/17979/16183/209590/14103/16453",58
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","21/545","92/5361",0.228260869565217,2.24533306741125,4.0527773132507,0.000270419240611418,0.0146477088664518,0.0133311941424225,"16185/16184/16190/20371/19055/15979/60505/16452/12504/15000/15978/18035/21812/15001/16189/14969/60504/17126/16183/209590/16453",21
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","16/545","62/5361",0.258064516129032,2.53850251553714,4.0985902494383,0.000332975730020618,0.0148293462735644,0.0134965062441186,"17131/434215/12162/230597/17869/328572/15978/21812/21809/51792/15902/269275/20482/20481/228839/17126",16
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","13/545","45/5361",0.288888888888889,2.8417125382263,4.17323674220949,0.000365030062118509,0.0148293462735644,0.0134965062441186,"16185/16184/15945/20297/16992/12772/12767/21938/230979/20300/12769/16183/16963",13
"Environmental Information Processing","Signal transduction","mmu04390","Hippo signaling pathway","21/545","96/5361",0.21875,2.15177752293578,3.83038505805878,0.000500646765995695,0.018078910994289,0.0164540048239521,"21676/17131/14368/319710/12162/23859/17869/21812/21414/56217/21809/51792/50523/93735/56289/23805/15902/11576/56274/12443/17126",21
"Metabolism","Metabolism of cofactors and vitamins","mmu00770","Pantothenate and CoA biosynthesis","6/545","14/5361",0.428571428571429,4.21572739187418,4.05252364677475,0.00157893211209063,0.0497436754481091,0.0452727863997365,"75735/71743/246277/12036/72535/211347",6
"Organismal Systems","Immune system","mmu04672","Intestinal immune network for IgA production","9/545","29/5361",0.310344827586207,3.05276811135717,3.72847493618429,0.00168363209208985,0.0497436754481091,0.0452727863997365,"15000/12767/15001/16189/20300/12769/21947/14969/16183",9
