"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008015","blood circulation","34/546","267/11987",0.127340823970037,2.79566750353267,6.48215204048976,5.1440191494688e-08,0.000183519277160218,0.000155001813821096,"Trpv4/Cacna1g/Smad7/Itgb1/Ttn/Klk1/Add3/Hif1a/Itga4/Tjp2/Ryr2/Atp2b4/Kcnk6/Bmpr2/Adcy6/Nav2/Atp1b1/Ptprj/Hopx/Plekha7/Ptger2/Ptp4a3/Camk2n1/Psen2/Acvrl1/Gnaq/Ada/F2r/Cacna1d/Jup/Trpm4/Ahr/Ece1/Cd38",34
"GO:0002250","adaptive immune response","39/546","343/11987",0.113702623906706,2.49625156184923,6.14189013530997,1.19180099319951e-07,0.000183519277160218,0.000155001813821096,"Il2rb/Ctla4/Il4ra/Lef1/P2rx7/Pou2f2/Bach2/Alcam/Smad7/Slamf6/Lag3/Stx11/Rorc/Pdcd1/Marchf8/Txk/Nsd2/Pdcd1lg2/Ccr6/Fcmr/Igha/Cd80/Slamf1/Sh2d1a/Cd79b/Klrd1/Irf4/Itk/Ccr7/Zap70/Klrk1/Rora/Il7r/Serpina3g/Ada/Trpm4/Ahr/Lilrb4a/Tec",39
"GO:0003013","circulatory system process","35/546","291/11987",0.120274914089347,2.64054101682968,6.18894143445391,1.37195691544746e-07,0.000183519277160218,0.000155001813821096,"Trpv4/Cacna1g/Smad7/Itgb1/Ttn/Klk1/Slc16a2/Add3/Hif1a/Itga4/Tjp2/Ryr2/Atp2b4/Kcnk6/Bmpr2/Adcy6/Nav2/Atp1b1/Ptprj/Hopx/Plekha7/Ptger2/Ptp4a3/Camk2n1/Psen2/Acvrl1/Gnaq/Ada/F2r/Cacna1d/Jup/Trpm4/Ahr/Ece1/Cd38",35
"GO:0007204","positive regulation of cytosolic calcium ion concentration","17/546","84/11987",0.202380952380952,4.44311442525728,6.91774178583969,1.81792250777829e-07,0.000183519277160218,0.000155001813821096,"Trpv4/P2rx7/Cacna1g/Galr2/Ccr6/Ryr2/Cxcr5/Ptger2/Ccr4/Ccr7/Cxcr3/F2r/Cacna1d/Trpm4/Xcr1/Cd38/Itgav",17
"GO:0019722","calcium-mediated signaling","21/546","128/11987",0.1640625,3.60186298076923,6.46497481752505,2.95315293685046e-07,0.000238496631180043,0.000201436116113589,"Tnfsf11/Ccr6/Ryr2/Atp2b4/Itgal/Cxcr5/Nfatc1/Ncs1/Atp1b1/Ptprj/Cd22/Ccr4/Ccr7/Zap70/Ppp3ca/Cxcr3/Ada/Cacna1d/Ccl20/Trpm4/Xcr1",21
"GO:0032103","positive regulation of response to external stimulus","46/546","459/11987",0.100217864923747,2.20020429824351,5.72777568962781,3.76365730341083e-07,0.000253294136519549,0.000213934204614931,"Nrp1/Gbp2b/Sell/Trpv4/Ccn4/Alpk1/P2rx7/Casp4/Smpdl3a/Nlrp1a/Tiam1/Unc13b/Csf1/Gbp3/Slamf6/Lag3/Hmgb2/Casp1/Oas1e/Ptpn11/Txk/Ifi214/Tnfsf11/Ccr6/Sec14l1/Bmpr2/Ptprj/Slamf1/Sh2d1a/Klrd1/Ccr4/Irf4/Usp27x/Camk2n1/Ccr7/Lamp2/Klrk1/Lacc1/Cxcr3/Cxcl10/Gfi1/Adam10/Map3k8/Trim30d/Cebpa/Plscr1",46
"GO:0044057","regulation of system process","36/546","322/11987",0.111801242236025,2.45450822469456,5.77967224273229,5.58310294946522e-07,0.000314343927858261,0.000265497334861126,"Tead1/Trpv4/Ccn4/Cacna1g/Smad7/Itgb1/Ttn/Unc13b/Lif/Cst7/Calcrl/Add3/Ptpn11/Hif1a/Vdr/Itga4/Rab8b/Ryr2/Atp2b4/Bmpr2/Egr2/Nfatc1/Atp1b1/Foxo1/Hopx/Ptger2/Tmem108/Ppp3ca/Ada/F2r/Cacna1d/Jup/Trpm4/Ahr/Ece1/Cd38",36
"GO:0045785","positive regulation of cell adhesion","38/546","353/11987",0.107648725212465,2.36334298373958,5.67975255578343,7.01717235596977e-07,0.000314343927858261,0.000265497334861126,"Nrp1/Il2ra/Il4ra/Lef1/Icos/Cd83/Smad7/Frmd5/Itgb1/Csf1/Spock2/Lif/Ptpn11/Rell2/Tgm2/Pdcd1lg2/Tnfsf11/Tgfbr2/Itga4/Cass4/Myadm/Rreb1/Adam19/Itgal/Cd80/Cdk6/Ptprj/Slamf1/Ccr7/Zap70/Myo10/Chst2/Il7r/Ppp3ca/Ada/Jup/Lilrb4a/Itgav",38
"GO:0060326","cell chemotaxis","23/546","158/11987",0.145569620253165,3.195866369917,6.06962556484256,7.38638572314423e-07,0.000314343927858261,0.000265497334861126,"Nrp1/Lef1/Sell/Trpv4/Tiam1/Csf1/Hmgb2/Tnfsf11/Ccr6/Cxcr5/Ptprj/Slamf1/Ccr4/Ccr7/Klrk1/Dusp1/Cxcr3/Cxcl10/Ccl20/Trpm4/Adam10/Xcr1/Mmp9",23
"GO:0010720","positive regulation of cell development","39/546","370/11987",0.105405405405405,2.31409266409266,5.60894683400866,8.53873355957061e-07,0.000314343927858261,0.000265497334861126,"Nrp1/Il2ra/Il4ra/Lef1/Cd83/Atxn1/Tiam1/Smad7/Shtn1/Itgb1/Csf1/Gpr68/Lif/Fes/Cyfip1/Map6/Hif1a/Tgm2/Aspm/Tnfsf11/Il10/Tgfbr2/Cul7/Nin/Bmpr2/Egr2/Sgk1/Cip2a/Trib1/Ccr7/Zap70/Plxnb2/Il7r/Ppp3ca/Ada/Tox/Notch2/Eeig1/Lilrb4a",39
