"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GSE13522_WT_VS_IFNAR_KO_SKING_T_CRUZI_Y_STRAIN_INF_UP",6.3421185592894e-25,3.0898801620858e-21,1.29512308741004,0.848053897348892,2.41595642956846,193,"ENSMUSG00000068227;ENSMUSG00000069833;ENSMUSG00000025997;ENSMUSG00000026011;ENSMUSG00000026770;ENSMUSG00000029075;ENSMUSG00000052117;ENSMUSG00000026483;ENSMUSG00000029468;ENSMUSG00000026009;ENSMUSG00000028634;ENSMUSG00000033083;ENSMUSG00000045573;ENSMUSG00000002489;ENSMUSG00000026358;ENSMUSG00000042064;ENSMUSG00000020649;ENSMUSG00000035473;ENSMUSG00000029822;ENSMUSG00000028268;ENSMUSG00000056737;ENSMUSG00000030124;ENSMUSG00000039232;ENSMUSG00000049687;ENSMUSG00000028150;ENSMUSG00000022297;ENSMUSG00000020656;ENSMUSG00000032220;ENSMUSG00000055407;ENSMUSG00000030208;ENSMUSG00000022479;ENSMUSG00000032231;ENSMUSG00000016498;ENSMUSG00000030103;ENSMUSG00000004105;ENSMUSG00000016529;ENSMUSG00000040899;ENSMUSG00000026073;ENSMUSG00000011256;ENSMUSG00000030189;ENSMUSG00000005947;ENSMUSG00000037419;ENSMUSG00000015316;ENSMUSG00000037474;ENSMUSG00000059325;ENSMUSG00000002578;ENSMUSG00000040592;ENSMUSG00000079017;ENSMUSG00000037759;ENSMUSG00000047898;ENSMUSG00000032501;ENSMUSG00000021356;ENSMUSG00000039521;ENSMUSG00000008398;ENSMUSG00000029275;ENSMUSG00000006014;ENSMUSG00000026166;ENSMUSG00000041272;ENSMUSG00000032841;ENSMUSG00000027878;ENSMUSG00000041390;ENSMUSG00000056671;ENSMUSG00000020577;ENSMUSG00000047293;ENSMUSG00000024402;ENSMUSG00000030029;ENSMUSG00000023243;ENSMUSG00000031530;ENSMUSG00000032640;ENSMUSG00000050965;ENSMUSG00000056749;ENSMUSG00000028480;ENSMUSG00000037211;ENSMUSG00000037894;ENSMUSG00000036002;ENSMUSG00000037852;ENSMUSG00000019960;ENSMUSG00000000028;ENSMUSG00000037129;ENSMUSG00000037706;ENSMUSG00000029994;ENSMUSG00000079037;ENSMUSG00000027533;ENSMUSG00000029414;ENSMUSG00000026748;ENSMUSG00000032184;ENSMUSG00000025929;ENSMUSG00000020614;ENSMUSG00000041954;ENSMUSG00000030844;ENSMUSG00000039697;ENSMUSG00000021108;ENSMUSG00000079110;ENSMUSG00000051111;ENSMUSG00000025076;ENSMUSG00000015094;ENSMUSG00000020841"
"GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_DN",4.18394430372828e-23,8.08528752154312e-20,1.24623277191648,0.842533083085662,2.40023512210795,188,"ENSMUSG00000025810;ENSMUSG00000031004;ENSMUSG00000026011;ENSMUSG00000055435;ENSMUSG00000029075;ENSMUSG00000000266;ENSMUSG00000028634;ENSMUSG00000036499;ENSMUSG00000038172;ENSMUSG00000022636;ENSMUSG00000020914;ENSMUSG00000034853;ENSMUSG00000054469;ENSMUSG00000033147;ENSMUSG00000029822;ENSMUSG00000001025;ENSMUSG00000018171;ENSMUSG00000039232;ENSMUSG00000028245;ENSMUSG00000020077;ENSMUSG00000026285;ENSMUSG00000027907;ENSMUSG00000030447;ENSMUSG00000066026;ENSMUSG00000022479;ENSMUSG00000032231;ENSMUSG00000057406;ENSMUSG00000029314;ENSMUSG00000031342;ENSMUSG00000040899;ENSMUSG00000074570;ENSMUSG00000024812;ENSMUSG00000025321;ENSMUSG00000036943;ENSMUSG00000026073;ENSMUSG00000029401;ENSMUSG00000024424;ENSMUSG00000026463;ENSMUSG00000046410;ENSMUSG00000002565;ENSMUSG00000005947;ENSMUSG00000003948;ENSMUSG00000067336;ENSMUSG00000037868;ENSMUSG00000075122;ENSMUSG00000033016;ENSMUSG00000022744;ENSMUSG00000037419;ENSMUSG00000015316;ENSMUSG00000059325;ENSMUSG00000026014;ENSMUSG00000037759;ENSMUSG00000001020;ENSMUSG00000016534;ENSMUSG00000079173;ENSMUSG00000039521;ENSMUSG00000003206;ENSMUSG00000024095;ENSMUSG00000047557;ENSMUSG00000039470;ENSMUSG00000024235;ENSMUSG00000041959;ENSMUSG00000019256;ENSMUSG00000056671;ENSMUSG00000029084;ENSMUSG00000027087;ENSMUSG00000032369;ENSMUSG00000022876;ENSMUSG00000039981;ENSMUSG00000047293;ENSMUSG00000003032;ENSMUSG00000027718;ENSMUSG00000031438;ENSMUSG00000020279;ENSMUSG00000025875;ENSMUSG00000031628;ENSMUSG00000039934;ENSMUSG00000068220;ENSMUSG00000024516;ENSMUSG00000022722;ENSMUSG00000053819;ENSMUSG00000015714;ENSMUSG00000029994;ENSMUSG00000016487;ENSMUSG00000049103;ENSMUSG00000027379;ENSMUSG00000027456;ENSMUSG00000038843;ENSMUSG00000046668;ENSMUSG00000042289;ENSMUSG00000040997;ENSMUSG00000020128;ENSMUSG00000059430;ENSMUSG00000015437;ENSMUSG00000026585;ENSMUSG00000030257;ENSMUSG00000046352;ENSMUSG00000024425;ENSMUSG00000048965;ENSMUSG00000095115;ENSMUSG00000022500;ENSMUSG00000024754;ENSMUSG00000036295;ENSMUSG00000020205;ENSMUSG00000030161;ENSMUSG00000026764;ENSMUSG00000026155"
"GSE7852_TREG_VS_TCONV_THYMUS_UP",4.97862532114724e-23,8.08528752154312e-20,1.24623277191648,0.842099839212145,2.39900088314152,188,"ENSMUSG00000025810;ENSMUSG00000025997;ENSMUSG00000026011;ENSMUSG00000039114;ENSMUSG00000026770;ENSMUSG00000055435;ENSMUSG00000029075;ENSMUSG00000026483;ENSMUSG00000026009;ENSMUSG00000033538;ENSMUSG00000045573;ENSMUSG00000038172;ENSMUSG00000015396;ENSMUSG00000046876;ENSMUSG00000026358;ENSMUSG00000024277;ENSMUSG00000025809;ENSMUSG00000054469;ENSMUSG00000051747;ENSMUSG00000029822;ENSMUSG00000028268;ENSMUSG00000042659;ENSMUSG00000023022;ENSMUSG00000001025;ENSMUSG00000025888;ENSMUSG00000049687;ENSMUSG00000020798;ENSMUSG00000020077;ENSMUSG00000026285;ENSMUSG00000036109;ENSMUSG00000022015;ENSMUSG00000030103;ENSMUSG00000040899;ENSMUSG00000034573;ENSMUSG00000025321;ENSMUSG00000068566;ENSMUSG00000036943;ENSMUSG00000026073;ENSMUSG00000024424;ENSMUSG00000028214;ENSMUSG00000005947;ENSMUSG00000002578;ENSMUSG00000037759;ENSMUSG00000039943;ENSMUSG00000001020;ENSMUSG00000010609;ENSMUSG00000039521;ENSMUSG00000024190;ENSMUSG00000003206;ENSMUSG00000050232;ENSMUSG00000028937;ENSMUSG00000020743;ENSMUSG00000028362;ENSMUSG00000027878;ENSMUSG00000041390;ENSMUSG00000041959;ENSMUSG00000019256;ENSMUSG00000029084;ENSMUSG00000032369;ENSMUSG00000020577;ENSMUSG00000047293;ENSMUSG00000027994;ENSMUSG00000024960;ENSMUSG00000005533;ENSMUSG00000019817;ENSMUSG00000005087;ENSMUSG00000031530;ENSMUSG00000056749;ENSMUSG00000036002;ENSMUSG00000020186;ENSMUSG00000057137;ENSMUSG00000047407;ENSMUSG00000079037;ENSMUSG00000039676;ENSMUSG00000009621;ENSMUSG00000049103;ENSMUSG00000038843;ENSMUSG00000028716;ENSMUSG00000019873;ENSMUSG00000023048;ENSMUSG00000060675;ENSMUSG00000011179;ENSMUSG00000015437;ENSMUSG00000032261;ENSMUSG00000015312"
"GSE7852_TREG_VS_TCONV_LN_DN",8.5230158572072e-23,9.80655136220384e-20,1.23789667319529,-0.773596674331788,-2.70810089798965,176,"ENSMUSG00000027624;ENSMUSG00000023927;ENSMUSG00000002769;ENSMUSG00000060131;ENSMUSG00000032666;ENSMUSG00000050592;ENSMUSG00000044197;ENSMUSG00000026989;ENSMUSG00000021696;ENSMUSG00000020388;ENSMUSG00000022994;ENSMUSG00000025014;ENSMUSG00000026576;ENSMUSG00000019970;ENSMUSG00000030165;ENSMUSG00000044770;ENSMUSG00000020395;ENSMUSG00000022272;ENSMUSG00000048027;ENSMUSG00000015143;ENSMUSG00000044037;ENSMUSG00000018654;ENSMUSG00000034614;ENSMUSG00000039157;ENSMUSG00000029217;ENSMUSG00000070385;ENSMUSG00000001700;ENSMUSG00000056493;ENSMUSG00000046807;ENSMUSG00000050052;ENSMUSG00000034164;ENSMUSG00000070056;ENSMUSG00000020315;ENSMUSG00000020689;ENSMUSG00000032528;ENSMUSG00000032870;ENSMUSG00000053931;ENSMUSG00000027035;ENSMUSG00000002957;ENSMUSG00000022892;ENSMUSG00000036944;ENSMUSG00000029130;ENSMUSG00000035941;ENSMUSG00000045092;ENSMUSG00000051890;ENSMUSG00000020901;ENSMUSG00000021728;ENSMUSG00000039831;ENSMUSG00000024140;ENSMUSG00000041235;ENSMUSG00000022018;ENSMUSG00000028064;ENSMUSG00000032946;ENSMUSG00000030465;ENSMUSG00000055003;ENSMUSG00000049555;ENSMUSG00000036565;ENSMUSG00000074207;ENSMUSG00000027883;ENSMUSG00000032193;ENSMUSG00000043065;ENSMUSG00000002897;ENSMUSG00000048218;ENSMUSG00000023267;ENSMUSG00000026765;ENSMUSG00000032776;ENSMUSG00000031258;ENSMUSG00000037295;ENSMUSG00000020846;ENSMUSG00000000782;ENSMUSG00000070407;ENSMUSG00000033581;ENSMUSG00000033373;ENSMUSG00000015839;ENSMUSG00000064373;ENSMUSG00000045932;ENSMUSG00000019726;ENSMUSG00000028528;ENSMUSG00000031153;ENSMUSG00000037972;ENSMUSG00000028630;ENSMUSG00000027605;ENSMUSG00000049044;ENSMUSG00000024799;ENSMUSG00000005802;ENSMUSG00000019838;ENSMUSG00000017756;ENSMUSG00000029287;ENSMUSG00000074748"
"GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_DN",1.00641947477461e-22,9.80655136220384e-20,1.23789667319529,0.837737866124807,2.39071443031084,194,"ENSMUSG00000025810;ENSMUSG00000026011;ENSMUSG00000026770;ENSMUSG00000031933;ENSMUSG00000029468;ENSMUSG00000028634;ENSMUSG00000015396;ENSMUSG00000002489;ENSMUSG00000034853;ENSMUSG00000001576;ENSMUSG00000031428;ENSMUSG00000035473;ENSMUSG00000056737;ENSMUSG00000030124;ENSMUSG00000047415;ENSMUSG00000039232;ENSMUSG00000068129;ENSMUSG00000028073;ENSMUSG00000031932;ENSMUSG00000026285;ENSMUSG00000045078;ENSMUSG00000030447;ENSMUSG00000027078;ENSMUSG00000066026;ENSMUSG00000037820;ENSMUSG00000021569;ENSMUSG00000016498;ENSMUSG00000030103;ENSMUSG00000004105;ENSMUSG00000024812;ENSMUSG00000038545;ENSMUSG00000026073;ENSMUSG00000011256;ENSMUSG00000046410;ENSMUSG00000047880;ENSMUSG00000037868;ENSMUSG00000037419;ENSMUSG00000040274;ENSMUSG00000024989;ENSMUSG00000059325;ENSMUSG00000040592;ENSMUSG00000037759;ENSMUSG00000021356;ENSMUSG00000001020;ENSMUSG00000050232;ENSMUSG00000028937;ENSMUSG00000008398;ENSMUSG00000024095;ENSMUSG00000029275;ENSMUSG00000006014;ENSMUSG00000041390;ENSMUSG00000056671;ENSMUSG00000030638;ENSMUSG00000039981;ENSMUSG00000047293;ENSMUSG00000027994;ENSMUSG00000039853;ENSMUSG00000008999;ENSMUSG00000024960;ENSMUSG00000031530;ENSMUSG00000032640;ENSMUSG00000021591;ENSMUSG00000056749;ENSMUSG00000013275;ENSMUSG00000037211;ENSMUSG00000044348;ENSMUSG00000026355;ENSMUSG00000037706;ENSMUSG00000029994;ENSMUSG00000047407;ENSMUSG00000046079;ENSMUSG00000079037;ENSMUSG00000027533;ENSMUSG00000002602;ENSMUSG00000020484;ENSMUSG00000032184;ENSMUSG00000041954;ENSMUSG00000034271;ENSMUSG00000027456;ENSMUSG00000079110;ENSMUSG00000025076;ENSMUSG00000042289;ENSMUSG00000040997;ENSMUSG00000059430;ENSMUSG00000043924;ENSMUSG00000032261;ENSMUSG00000038663;ENSMUSG00000022500;ENSMUSG00000020205;ENSMUSG00000030161;ENSMUSG00000029121;ENSMUSG00000018451;ENSMUSG00000041779;ENSMUSG00000079020;ENSMUSG00000032281;ENSMUSG00000026821;ENSMUSG00000072115;ENSMUSG00000022661;ENSMUSG00000006342;ENSMUSG00000028521;ENSMUSG00000028173;ENSMUSG00000021025;ENSMUSG00000028393;ENSMUSG00000042831;ENSMUSG00000024349;ENSMUSG00000031749;ENSMUSG00000039153"
"GSE7460_TCONV_VS_TREG_THYMUS_DN",3.64295515762429e-22,2.95807958799092e-19,1.22105375677186,0.838113049148019,2.38706096880834,189,"ENSMUSG00000025810;ENSMUSG00000068227;ENSMUSG00000025997;ENSMUSG00000026011;ENSMUSG00000026770;ENSMUSG00000055435;ENSMUSG00000029075;ENSMUSG00000026483;ENSMUSG00000026009;ENSMUSG00000033538;ENSMUSG00000045573;ENSMUSG00000015396;ENSMUSG00000046876;ENSMUSG00000026358;ENSMUSG00000024277;ENSMUSG00000042064;ENSMUSG00000025809;ENSMUSG00000054469;ENSMUSG00000051747;ENSMUSG00000029822;ENSMUSG00000028268;ENSMUSG00000023022;ENSMUSG00000001025;ENSMUSG00000039232;ENSMUSG00000026475;ENSMUSG00000020077;ENSMUSG00000027907;ENSMUSG00000045078;ENSMUSG00000032220;ENSMUSG00000022015;ENSMUSG00000030103;ENSMUSG00000040899;ENSMUSG00000025321;ENSMUSG00000068566;ENSMUSG00000036943;ENSMUSG00000026073;ENSMUSG00000011256;ENSMUSG00000005947;ENSMUSG00000002578;ENSMUSG00000037759;ENSMUSG00000046269;ENSMUSG00000001020;ENSMUSG00000010609;ENSMUSG00000039521;ENSMUSG00000003206;ENSMUSG00000050232;ENSMUSG00000028937;ENSMUSG00000008398;ENSMUSG00000020743;ENSMUSG00000028362;ENSMUSG00000027878;ENSMUSG00000041390;ENSMUSG00000024235;ENSMUSG00000041959;ENSMUSG00000019256;ENSMUSG00000029084;ENSMUSG00000032369;ENSMUSG00000031373;ENSMUSG00000020577;ENSMUSG00000047293;ENSMUSG00000027994;ENSMUSG00000024960;ENSMUSG00000019817;ENSMUSG00000031530;ENSMUSG00000036002;ENSMUSG00000022722;ENSMUSG00000035441;ENSMUSG00000020186;ENSMUSG00000057137;ENSMUSG00000024378;ENSMUSG00000047407;ENSMUSG00000079037;ENSMUSG00000039676;ENSMUSG00000009621;ENSMUSG00000028716;ENSMUSG00000019873;ENSMUSG00000023048;ENSMUSG00000060675;ENSMUSG00000038387;ENSMUSG00000011179;ENSMUSG00000015437;ENSMUSG00000032261"
"GSE4535_BM_DERIVED_DC_VS_FOLLICULAR_DC_UP",2.25475178512178e-21,1.56930724244476e-18,1.19534448258848,0.826760858192181,2.35361479685307,192,"ENSMUSG00000025810;ENSMUSG00000025997;ENSMUSG00000033083;ENSMUSG00000033538;ENSMUSG00000038172;ENSMUSG00000024277;ENSMUSG00000025809;ENSMUSG00000062995;ENSMUSG00000033147;ENSMUSG00000043050;ENSMUSG00000015314;ENSMUSG00000018171;ENSMUSG00000039232;ENSMUSG00000025888;ENSMUSG00000020077;ENSMUSG00000027907;ENSMUSG00000043733;ENSMUSG00000020656;ENSMUSG00000057406;ENSMUSG00000016498;ENSMUSG00000022015;ENSMUSG00000034573;ENSMUSG00000020823;ENSMUSG00000030189;ENSMUSG00000056413;ENSMUSG00000033016;ENSMUSG00000037419;ENSMUSG00000074607;ENSMUSG00000015316;ENSMUSG00000005696;ENSMUSG00000079017;ENSMUSG00000062210;ENSMUSG00000026014;ENSMUSG00000037759;ENSMUSG00000062866;ENSMUSG00000001020;ENSMUSG00000020910;ENSMUSG00000016534;ENSMUSG00000033350;ENSMUSG00000032238;ENSMUSG00000028937;ENSMUSG00000024095;ENSMUSG00000034855;ENSMUSG00000028362;ENSMUSG00000039470;ENSMUSG00000041390;ENSMUSG00000041959;ENSMUSG00000032688;ENSMUSG00000030638;ENSMUSG00000029084;ENSMUSG00000032369;ENSMUSG00000022876;ENSMUSG00000027718;ENSMUSG00000008999;ENSMUSG00000034484;ENSMUSG00000089774;ENSMUSG00000027843;ENSMUSG00000013275;ENSMUSG00000055116;ENSMUSG00000022377;ENSMUSG00000016520;ENSMUSG00000026649;ENSMUSG00000040111;ENSMUSG00000026663;ENSMUSG00000057137;ENSMUSG00000038718;ENSMUSG00000029994;ENSMUSG00000073002;ENSMUSG00000040584;ENSMUSG00000016487;ENSMUSG00000034266;ENSMUSG00000020614;ENSMUSG00000019843;ENSMUSG00000024063;ENSMUSG00000038843;ENSMUSG00000023048;ENSMUSG00000054065;ENSMUSG00000060675;ENSMUSG00000043004;ENSMUSG00000046572;ENSMUSG00000042350;ENSMUSG00000039680;ENSMUSG00000030055;ENSMUSG00000015312;ENSMUSG00000036452;ENSMUSG00000022500;ENSMUSG00000096210;ENSMUSG00000040842;ENSMUSG00000028364;ENSMUSG00000004849;ENSMUSG00000022661;ENSMUSG00000022508;ENSMUSG00000029641;ENSMUSG00000038024;ENSMUSG00000018548;ENSMUSG00000041645;ENSMUSG00000001542;ENSMUSG00000015501;ENSMUSG00000050732;ENSMUSG00000026018;ENSMUSG00000039891;ENSMUSG00000033033;ENSMUSG00000042312;ENSMUSG00000078771;ENSMUSG00000031176;ENSMUSG00000027030"
"GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_NEURON_CELL_LINE_DN",4.29940440976525e-21,2.61833728554703e-18,1.18665095279281,0.822404846974528,2.3414474184551,199,"ENSMUSG00000069833;ENSMUSG00000025997;ENSMUSG00000039114;ENSMUSG00000026770;ENSMUSG00000032420;ENSMUSG00000055435;ENSMUSG00000005124;ENSMUSG00000031933;ENSMUSG00000026483;ENSMUSG00000026009;ENSMUSG00000036499;ENSMUSG00000015396;ENSMUSG00000022636;ENSMUSG00000054469;ENSMUSG00000031428;ENSMUSG00000028268;ENSMUSG00000056737;ENSMUSG00000042659;ENSMUSG00000001025;ENSMUSG00000041992;ENSMUSG00000028073;ENSMUSG00000028150;ENSMUSG00000031932;ENSMUSG00000045078;ENSMUSG00000036109;ENSMUSG00000032220;ENSMUSG00000024098;ENSMUSG00000032231;ENSMUSG00000022015;ENSMUSG00000040899;ENSMUSG00000024812;ENSMUSG00000036943;ENSMUSG00000030189;ENSMUSG00000056413;ENSMUSG00000005947;ENSMUSG00000045903;ENSMUSG00000015316;ENSMUSG00000002578;ENSMUSG00000062866;ENSMUSG00000047898;ENSMUSG00000046269;ENSMUSG00000001020;ENSMUSG00000033350;ENSMUSG00000003206;ENSMUSG00000044676;ENSMUSG00000029275;ENSMUSG00000006014;ENSMUSG00000041272;ENSMUSG00000047557;ENSMUSG00000039470;ENSMUSG00000024235;ENSMUSG00000041959;ENSMUSG00000034957;ENSMUSG00000025747;ENSMUSG00000032369;ENSMUSG00000022876;ENSMUSG00000027994;ENSMUSG00000033910;ENSMUSG00000005533;ENSMUSG00000071369;ENSMUSG00000013921;ENSMUSG00000013275;ENSMUSG00000039934;ENSMUSG00000068220;ENSMUSG00000037894;ENSMUSG00000048120;ENSMUSG00000020186;ENSMUSG00000021733;ENSMUSG00000033855;ENSMUSG00000037706;ENSMUSG00000003378;ENSMUSG00000046079;ENSMUSG00000079037;ENSMUSG00000026478;ENSMUSG00000059495;ENSMUSG00000020484;ENSMUSG00000034266;ENSMUSG00000034115;ENSMUSG00000049103;ENSMUSG00000041954;ENSMUSG00000021108;ENSMUSG00000027456;ENSMUSG00000019873;ENSMUSG00000027475;ENSMUSG00000079110;ENSMUSG00000060591;ENSMUSG00000040997;ENSMUSG00000020841;ENSMUSG00000020128"
"GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_IMMATURE_NEURON_CELL_LINE_UP",2.06255405393107e-19,1.11652926119468e-16,1.14219120216838,-0.734379742659608,-2.58933069177093,193,"ENSMUSG00000027985;ENSMUSG00000049866;ENSMUSG00000032437;ENSMUSG00000060131;ENSMUSG00000032440;ENSMUSG00000026989;ENSMUSG00000021696;ENSMUSG00000020388;ENSMUSG00000020520;ENSMUSG00000026576;ENSMUSG00000006344;ENSMUSG00000030165;ENSMUSG00000022272;ENSMUSG00000048027;ENSMUSG00000015143;ENSMUSG00000026932;ENSMUSG00000018654;ENSMUSG00000034614;ENSMUSG00000046807;ENSMUSG00000050052;ENSMUSG00000004263;ENSMUSG00000060470;ENSMUSG00000020393;ENSMUSG00000070056;ENSMUSG00000071644;ENSMUSG00000020689;ENSMUSG00000032528;ENSMUSG00000030283;ENSMUSG00000025915;ENSMUSG00000037300;ENSMUSG00000020882;ENSMUSG00000027035;ENSMUSG00000029130;ENSMUSG00000015757;ENSMUSG00000039497;ENSMUSG00000035941;ENSMUSG00000041707;ENSMUSG00000027508;ENSMUSG00000051890;ENSMUSG00000020901;ENSMUSG00000039831;ENSMUSG00000017376;ENSMUSG00000039976;ENSMUSG00000024140;ENSMUSG00000021000;ENSMUSG00000022018;ENSMUSG00000028064;ENSMUSG00000022856;ENSMUSG00000026617;ENSMUSG00000036565;ENSMUSG00000026087;ENSMUSG00000074207;ENSMUSG00000049517;ENSMUSG00000026765;ENSMUSG00000028906;ENSMUSG00000037295;ENSMUSG00000020846;ENSMUSG00000026737;ENSMUSG00000030880;ENSMUSG00000000782;ENSMUSG00000070407;ENSMUSG00000033373;ENSMUSG00000024177;ENSMUSG00000012126;ENSMUSG00000055541;ENSMUSG00000042156;ENSMUSG00000037972;ENSMUSG00000055044;ENSMUSG00000043587;ENSMUSG00000027605;ENSMUSG00000000532;ENSMUSG00000024725;ENSMUSG00000036278;ENSMUSG00000049044;ENSMUSG00000040383;ENSMUSG00000024436;ENSMUSG00000032750;ENSMUSG00000034586;ENSMUSG00000005802;ENSMUSG00000054934;ENSMUSG00000063785;ENSMUSG00000029287;ENSMUSG00000074748;ENSMUSG00000020441"
"GSE5142_CTRL_VS_HTERT_TRANSDUCED_CD8_TCELL_EARLY_PASSAGE_CLONE_DN",2.31598396744101e-19,1.12834738893726e-16,1.13308993200902,-0.756314879952325,-2.62658524702649,170,"ENSMUSG00000027624;ENSMUSG00000017493;ENSMUSG00000006494;ENSMUSG00000049866;ENSMUSG00000060131;ENSMUSG00000059588;ENSMUSG00000025026;ENSMUSG00000054892;ENSMUSG00000050592;ENSMUSG00000026989;ENSMUSG00000020388;ENSMUSG00000025014;ENSMUSG00000019970;ENSMUSG00000044770;ENSMUSG00000020395;ENSMUSG00000048027;ENSMUSG00000015143;ENSMUSG00000003882;ENSMUSG00000017697;ENSMUSG00000032518;ENSMUSG00000063077;ENSMUSG00000033530;ENSMUSG00000024078;ENSMUSG00000034614;ENSMUSG00000028495;ENSMUSG00000001700;ENSMUSG00000055148;ENSMUSG00000046807;ENSMUSG00000032528;ENSMUSG00000032870;ENSMUSG00000039747;ENSMUSG00000043439;ENSMUSG00000022892;ENSMUSG00000031504;ENSMUSG00000029130;ENSMUSG00000008682;ENSMUSG00000091803;ENSMUSG00000003500;ENSMUSG00000035941;ENSMUSG00000045287;ENSMUSG00000003762;ENSMUSG00000032690;ENSMUSG00000021728;ENSMUSG00000039831;ENSMUSG00000034994;ENSMUSG00000041235;ENSMUSG00000056131;ENSMUSG00000027883;ENSMUSG00000045503;ENSMUSG00000025246;ENSMUSG00000038619;ENSMUSG00000028069;ENSMUSG00000020846;ENSMUSG00000070407;ENSMUSG00000039936;ENSMUSG00000033373;ENSMUSG00000041057;ENSMUSG00000061740"
